Attacker,Fast Move,Charged Move,Level,"Regice, Tier 5","Arceus (Bug), Tier 5","Arceus (Grass), Tier 5","Arceus (Ice), Tier 5","Arceus (Steel), Tier 5","Genesect (Chill), Tier 5","Genesect (Shock), Tier 5","Genesect, Tier 5","Genesect (Burn), Tier 5","Genesect (Douse), Tier 5","Shaymin, Tier 5","Zacian (Crowned Sword), Tier 5","Zamazenta (Crowned Shield), Tier 5","Cobalion, Tier 5","Registeel, Tier 5","Mega Abomasnow, Mega Tier","Mega Aggron, Mega Tier","Mega Beedrill, Mega Tier","Mega Glalie, Mega Tier","Mega Lucario, Mega Tier","Mega Mawile, Mega Tier","Mega Metagross, Mega Tier","Mega Scizor, Mega Tier","Mega Steelix, Mega Tier","Mega Venusaur, Mega Tier","Piloswine, Tier 3","Amoonguss, Tier 3","Ariados, Tier 3","Bellossom, Tier 3","Cryogonal, Tier 3","Durant, Tier 3","Excadrill, Tier 3","Galvantula, Tier 3","Glaceon, Tier 3","Glalie, Tier 3","Gloom, Tier 3","Jynx, Tier 3","Mawile, Tier 3","Meganium, Tier 3","Metagross, Tier 3","Metang, Tier 3","Parasect, Tier 3","Pinsir, Tier 3","Skarmory, Tier 3","Stunfisk (Galarian), Tier 3","Tangela, Tier 3","Venusaur, Tier 3","Vileplume, Tier 3"
(Battle settings),,,,"Extreme,Best Friend,No Dodging,Realistic Dodging","Extreme,Best Friend,No Dodging,Realistic Dodging","Extreme,Best Friend,No Dodging,Realistic Dodging","Extreme,Best Friend,No Dodging,Realistic Dodging","Extreme,Best Friend,No Dodging,Realistic Dodging","Extreme,Best Friend,No Dodging,Realistic Dodging","Extreme,Best Friend,No Dodging,Realistic Dodging","Extreme,Best Friend,No Dodging,Realistic Dodging","Extreme,Best Friend,No Dodging,Realistic Dodging","Extreme,Best Friend,No Dodging,Realistic Dodging","Extreme,Best Friend,No Dodging,Realistic Dodging","Extreme,Best Friend,No Dodging,Realistic Dodging","Extreme,Best Friend,No Dodging,Realistic Dodging","Extreme,Best Friend,No Dodging,Realistic Dodging","Extreme,Best Friend,No Dodging,Realistic Dodging","Extreme,Best Friend,No Dodging,Realistic Dodging","Extreme,Best Friend,No Dodging,Realistic Dodging","Extreme,Best Friend,No Dodging,Realistic Dodging","Extreme,Best Friend,No Dodging,Realistic Dodging","Extreme,Best Friend,No Dodging,Realistic Dodging","Extreme,Best Friend,No Dodging,Realistic Dodging","Extreme,Best Friend,No Dodging,Realistic Dodging","Extreme,Best Friend,No Dodging,Realistic Dodging","Extreme,Best Friend,No Dodging,Realistic Dodging","Extreme,Best Friend,No Dodging,Realistic Dodging","Extreme,No Friend,No Dodging,Realistic Dodging","Extreme,No Friend,No Dodging,Realistic Dodging","Extreme,No Friend,No Dodging,Realistic Dodging","Extreme,No Friend,No Dodging,Realistic Dodging","Extreme,No Friend,No Dodging,Realistic Dodging","Extreme,No Friend,No Dodging,Realistic Dodging","Extreme,No Friend,No Dodging,Realistic Dodging","Extreme,No Friend,No Dodging,Realistic Dodging","Extreme,No Friend,No Dodging,Realistic Dodging","Extreme,No Friend,No Dodging,Realistic Dodging","Extreme,No Friend,No Dodging,Realistic Dodging","Extreme,No Friend,No Dodging,Realistic Dodging","Extreme,No Friend,No Dodging,Realistic Dodging","Extreme,No Friend,No Dodging,Realistic Dodging","Extreme,No Friend,No Dodging,Realistic Dodging","Extreme,No Friend,No Dodging,Realistic Dodging","Extreme,No Friend,No Dodging,Realistic Dodging","Extreme,No Friend,No Dodging,Realistic Dodging","Extreme,No Friend,No Dodging,Realistic Dodging","Extreme,No Friend,No Dodging,Realistic Dodging","Extreme,No Friend,No Dodging,Realistic Dodging","Extreme,No Friend,No Dodging,Realistic Dodging","Extreme,No Friend,No Dodging,Realistic Dodging"
(Boss weights),,,,6.25,1.5625,1.5625,1.5625,1.5625,1.25,1.25,1.25,1.25,1.25,6.25,6.25,6.25,6.25,6.25,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,0.6521739130434783,0.6521739130434783,0.6521739130434783,0.6521739130434783,0.6521739130434783,0.6521739130434783,0.6521739130434783,0.6521739130434783,0.6521739130434783,0.6521739130434783,0.6521739130434783,0.6521739130434783,0.6521739130434783,0.6521739130434783,0.6521739130434783,0.6521739130434783,0.6521739130434783,0.6521739130434783,0.6521739130434783,0.6521739130434783,0.6521739130434783,0.6521739130434783,0.6521739130434783
Moltres,Fire Spin,Overheat,40,1.319468553082801,1.3582624695249923,1.3510441812867133,1.3568099056975493,1.3517125912305845,1.3259745263390608,1.35082405043239,1.3300637316796122,1.3263202688423406,1.3337186112304273,1.3288225408473522,1.3172387443830587,1.3392459243026567,1.33527767613378,1.3023993066851522,1.343437082553571,1.3658454414520622,1.3254902485850828,1.3487701599531305,1.3268135356027038,1.3469539246876168,1.355359122627769,1.3299362476664245,1.3193176433154075,1.2912924171697429,1.3112778370671216,1.2955987587548836,1.2870724386824908,1.3235875528103134,1.3130170485860293,1.3448112282730116,1.3292722062621645,1.3138812010267453,1.3347013842269024,1.3475901049082648,1.3159109855032116,1.3433716276270755,1.301280263445034,1.332066571407047,1.3324397898433957,1.316345585294322,1.4133770460502637,1.3187825236200217,1.29985967446191,1.3359539587200548,1.295508590430445,1.31735207322049,1.307282596938554
Shadow Houndoom,Fire Fang,Flamethrower,40,1.4890186745821135,1.33390816823071,1.3386209441759238,1.3289207891173989,1.3537970207424852,1.340030237224452,1.4312101992570807,1.4492931070281625,1.3718083625497248,1.350208627546716,1.3629350002877691,1.426112900850063,1.4852105451755913,1.4643434486439646,1.350880075663697,1.3093326887606709,1.246620411102132,1.4046300632453337,1.3143736735054827,1.6288789210654933,1.3699883348827362,1.3971421607891468,1.36831585177323,1.3942898364629916,1.3758919645554946,1.3091132651372244,1.2897937955214813,1.3027557239641074,1.3526602921347137,1.2836768119561548,1.336414628290468,1.521265890430704,1.3339299055115346,1.2817002069488317,1.2843856615279472,1.337393914866302,1.368662610872942,1.3260199238009587,1.3789285644182747,1.3653517405302482,1.2731079405121983,1.3952913884972074,1.4424934795206235,1.3427839923973957,1.3995433561785986,1.3590830223535932,1.3441083373273572,1.3900181452814542
Flareon,Fire Spin,Overheat or Flamethrower,40,1.470234827390374,1.4670993735985212,1.4537575656169601,1.4578062788016102,1.4603014994832335,1.3805376377224299,1.4341388109429014,1.4203948772855373,1.4156874640956842,1.4235869259555691,1.4225066944094622,1.4588604344679872,1.446187255045275,1.4366884070681751,1.449446633091146,1.4593396515736952,1.2978822928333882,1.5009589912690557,1.3626201444773611,1.521339344279805,1.4227244321479986,1.5906650858760596,1.4205233627372233,1.5370227328221095,1.4301077024585465,1.4090123908846146,1.3830997241802445,1.337476394888336,1.4034019093041976,1.3724064351213465,1.4031887789789226,1.5491668487291734,1.372143051567351,1.337393713936463,1.4109182259523108,1.3783317264952764,1.4582205145566947,1.3578725545898849,1.3834280940077814,1.452429178553777,1.3885137319802936,1.4621795803147135,1.4407552950912959,1.4021633588210445,1.4044547586876162,1.4055801588767782,1.4044266460787806,1.4244793716993946
Shadow Typhlosion,Incinerate,Blast Burn,40,1.2665743033374581,1.2751698118814456,1.27001269682216,1.2713947457992048,1.2798884485156052,1.177217434537459,1.2082308154332957,1.2170107933358338,1.2157648513318176,1.198488869849785,1.2466544252688625,1.2974256673131275,1.2419835958760717,1.248558699377576,1.2576698963944088,1.2362009344848888,1.2032486135783649,1.3104674913091046,1.2447201372921826,1.3488829520697274,1.235291819474634,1.3939336603050434,1.2438889578071661,1.3172730343256558,1.2924437099568968,1.2304832290447387,1.2197666183110725,1.1786169586236366,1.211116513359585,1.201794357135226,1.1966728126807318,1.399450276991862,1.1833927193680531,1.1833788401035497,1.2371039103439128,1.2219461384085681,1.2687784491623728,1.1788155568290226,1.234275516692942,1.3205331000404188,1.2064257988138336,1.246851768037593,1.2626378197921795,1.2279632677977101,1.239052608872852,1.2510652133752078,1.227632967183067,1.2191885983469102
Shadow Ho-Oh,Incinerate,Fire Blast,40,1.2713439686869397,1.3080696706037054,1.3088158214060568,1.3044608166921836,1.3038680204632749,1.2703634854258659,1.2887023910790887,1.2832011718584595,1.283726864752588,1.251060133867733,1.2581430792546835,1.317537766163702,1.2995840108734134,1.2700242396253705,1.2714008175560763,1.27702761677788,1.2552276124809658,1.2859155876942037,1.2881804502343475,1.2863172682953754,1.2677183890382406,1.2907838960022608,1.2816181223883234,1.2812514332681562,1.2564948418008377,1.2524893049029397,1.2759096166398594,1.2302738977709733,1.2948812214243581,1.2528545079314095,1.2782823483523476,1.3072356928332038,1.282124396008589,1.2990332557925726,1.2891754730097613,1.2858145244868948,1.289283531061867,1.2701609024762939,1.259989222471618,1.2937335228838263,1.2782905674885843,1.2771888674378584,1.279635664664494,1.264651564912498,1.2981390948477904,1.2861754110474783,1.2695885758503906,1.2805228504721378
Magmortar,Fire Spin,Fire Blast or Fire Punch,40,1.549726097081837,1.48863757987888,1.4850678270568136,1.4847902741234245,1.4918186079820068,1.4977756653049774,1.52544479992147,1.5070911240073774,1.535866709613025,1.5281634634104133,1.5160570694368682,1.497994027742095,1.5340249093271343,1.5286734174883376,1.5535120067599848,1.4891470375511846,1.3255746558668322,1.545264078917982,1.4710088405332507,1.5728971224162778,1.5290497681451938,1.6244169023081438,1.5158431677586357,1.5853316716897277,1.500106777497549,1.5062239411763212,1.485425623068014,1.4586452442656201,1.5157745693317137,1.4725375345524472,1.488675561163718,1.621829642072666,1.473775514078126,1.4002846052388875,1.4832601279352313,1.473738477849666,1.526429841719386,1.4584666348822006,1.4894663124537348,1.5665005419557365,1.478045448903655,1.5569490014818284,1.5264663313140787,1.4992528129801868,1.5185211492968789,1.51941289488269,1.5247640503155584,1.5261291868986064
Shadow Blaziken,Counter or Fire Spin,Blast Burn,40,1.2796758318559724,1.4314437445906474,1.4284709289517206,1.4074604005750877,1.3864419522865252,1.1355800512094258,1.1789531236973512,1.2075026820532793,1.150711692245785,1.1470492007181639,1.1734762627860895,1.2754039763325453,1.1619223553082707,1.1402751383987462,1.1562036738019312,1.1318606024995508,1.0000568301240524,1.2021167289132244,1.1224668100017685,1.310025889051717,1.1742026911358268,1.5413683314576774,1.1381645152189916,1.1967844210780003,1.1882747997459442,1.1096220213255839,1.1266062061736886,1.0837975163321967,1.1365232568615473,1.102349955533733,1.1328034759555654,1.2622086735484783,1.102904380195397,1.0795519924968762,1.1174662944939944,1.1329917200370687,1.2210074442553012,1.1140275121652181,1.195276899123459,1.4080168172456642,1.1670146230068135,1.1444084062488349,1.1892447563618636,1.2378238486800004,1.1907422945317723,1.1506604470718642,1.151262597095977,1.1848868789600826
Mega Charizard X,Fire Spin,Blast Burn,40,1.1736746417425499,1.1844085836442226,1.1822156645440263,1.178121541501294,1.174110341639654,1.1782727527530874,1.167163732552527,1.1775995766731404,1.1566166835030622,1.1859326860381392,1.1660777230170267,1.174592212271488,1.2055994025142183,1.1722678364670842,1.168872454446641,1.174880967636607,1.018758347638519,1.1669063913763438,1.1536833712858154,1.2063741481800077,1.1724555846785456,1.2556278876880604,1.175220489260164,1.2080193098393757,1.1374541373505418,1.1463338700585366,1.1362559191493773,1.1322954095650066,1.17982742373651,1.1444882700322832,1.1623512220415282,1.2734805108507743,1.1065704080037073,1.1477749964872475,1.17085940313637,1.17466277762014,1.1765697436096672,1.142717359006531,1.1587199639919827,1.1734724728298451,1.1649872365329186,1.2006812995909903,1.1729714686703607,1.154514900101568,1.149569289842436,1.168112876408646,1.151064981751848,1.1490313686737095
Delphox,Fire Spin,Flamethrower,40,1.5121239001012048,1.4856868190716281,1.4843565059292194,1.4804127597538725,1.4854719195906392,1.5140087052329494,1.5438055904996755,1.5229451471067652,1.552154039503002,1.5428098820159268,1.5444173482486423,1.507783717541193,1.5694238720925069,1.5492706153016218,1.497209983726472,1.494023089560819,1.3498746097662093,1.58557348184936,1.5251795603776086,1.5091139108324083,1.5366389665214937,1.6333644920762591,1.5816934641684297,1.6814116267254227,1.538334453563875,1.4975119690531222,1.5298753634777833,1.5021925290348637,1.5473593087292252,1.5134213131026557,1.5237103277123074,1.6718112394060018,1.5247644407069183,1.416602092733199,1.5445609667372027,1.520592522720322,1.4881047714116495,1.5119184345461745,1.5197269671922655,1.5771508298730719,1.5078417237097868,1.5799455977712298,1.5202417939375539,1.5465335840806678,1.5269064269708383,1.52948254202845,1.5404360632049372,1.5521088187098013
Infernape,Fire Spin,Blast Burn,40,1.484620847711129,1.67484337486643,1.678131572076142,1.6716390802105894,1.6944801674706902,1.3885809999750145,1.4185482201586335,1.4128981721153484,1.421682530983573,1.414104821339728,1.4740586706301941,1.5045620413973093,1.4461505158791246,1.4643806968629476,1.479541791452853,1.4610496073647916,1.2587124317708007,1.518891244630358,1.4576539424522463,1.5514403840944642,1.4550714601749855,,1.4334371577868261,1.5328750046309305,1.4530107233811642,1.4021304278103832,1.4149402958469801,1.3815779305103066,1.4438898160008113,1.4159605951758523,1.394347117446884,1.5965802315472473,1.3967892288646557,1.3979442735772196,1.4436760936424238,1.4395276020718955,1.5446595852814808,1.4228087079138236,1.4563254675088568,1.5788173035584674,1.497993517322432,1.475388862350933,1.4662088969972313,1.4944259071710582,1.43865656887168,1.452509883613523,1.4624905970630848,1.4617649818142486
Emboar,Ember or Low Kick,Blast Burn,40,1.3838528667792627,1.4098195087100636,1.4134192946635764,1.3760599816174675,1.3987731572772437,1.3512510260308264,1.3764733555018547,1.3712880660042581,1.388403226403352,1.3843747199500622,1.4102719746654158,1.421803394858578,1.3653393133656828,1.3540341288674178,1.3942418327167896,1.3698062076552857,1.2016711777685776,1.4572539614392737,1.3494850852272726,1.4412196852857797,1.4099371358671795,1.7094891749844903,1.3819746028431263,1.5046786513214452,1.3419397295414044,1.3396416561864992,1.377953888084692,1.3661348261723267,1.4170386272738862,1.351891574473745,1.3568940899068878,1.4782142568994134,1.3429482603787979,1.2763366818683566,1.3914291092524549,1.3735024008225492,1.4338463069310308,1.381496132621768,1.419975786513389,1.506554394451574,1.4269832507583482,1.446344085909112,1.4018033538274606,1.4379485999365758,1.3659065524124003,1.3736164788472198,1.4177958821590817,1.407382465889299
Victini,Confusion or Quick Attack,V-Create,40,1.387287499573344,1.3589280226440605,1.3570174961228914,1.3519952168725569,1.3849328619279035,1.4986993482498585,1.5069242259198494,1.5182567982421347,1.5378003930010735,1.4747538843892054,1.4155189738801115,1.3686223005897589,1.4444341241309486,1.3895990271917869,1.4662934905062222,1.4388846525715,1.2551891925751588,1.2986992594031572,1.4092498120799435,1.431325281541696,1.4810255126554386,1.3860744666085854,1.4848728106539248,1.4597375880814583,1.2764209189179192,1.3676297893329632,1.2949949841125363,1.3032681689036294,1.4578669404149425,1.3798926159112117,1.4692006478049044,1.4859349914468392,1.394084131477289,1.338280821296012,1.4565903338313229,1.3269291891745636,1.4067857570440545,1.5088230214797465,1.4454779144870062,1.433462335952518,1.4900241871188096,1.5459380029218464,1.4564776886494708,1.4907337791194555,1.472003714388405,1.442750600406429,1.3195226250119347,1.3204032873422313
Shadow Ninetales,Fire Spin,Weather Ball Fire,40,1.5901682402565116,1.618146450907533,1.6127760900234946,1.6136053424740355,1.6214090278479978,1.5660569412960164,1.5949347185279314,1.5773330310497131,1.6051009540335976,1.5833586022070254,1.5991289754881806,1.6070987176867368,1.619675936406746,1.6052714981591214,1.6542333414626071,1.595926635358474,1.4045861551045873,1.6155028510669012,1.5901983800185708,1.6443976239366285,1.5874697515525953,1.7114312314280795,1.6052562506615755,1.6839405208313756,1.5826767877954482,1.60187705000763,1.5969893345254875,1.5420246059093923,1.6158583265377082,1.5750333762313122,1.5718231284377082,,1.5560303353689224,1.542276338850234,1.590263521287409,1.5905652987419312,1.6104911749618036,1.5660069534044319,1.6047289848261619,1.657279065927763,1.5852327904521741,1.6581797238635687,1.6253804555414135,1.5934728704847514,1.6081323456475969,1.614115093293922,1.619928804968969,1.5955956302689196
Shadow Arcanine,Fire Fang,Flamethrower,40,1.2758087034549066,1.283196071463506,1.2796431876555256,1.2805922256623032,1.2832983842418613,1.2474606982677519,1.2775213721350054,1.2619158752731578,1.276891889991221,1.2710867946218052,1.273960005256305,1.263469633980401,1.3090887608767554,1.2604662292331172,1.283909871271009,1.2711664556663216,1.1331890829625475,1.293237180419101,1.2498245158295012,1.3157798888581278,1.2981020862984731,1.3510297016954482,1.2602185183038694,1.3713734400145035,1.2383952050021894,1.270746007489855,1.2561333375885564,1.227314588565194,1.2554016441401092,1.2392933224189933,1.259472385541819,1.373708527143027,1.2352711955102373,1.2141447126857496,1.2705623188826567,1.2844423779446879,1.2996717122262915,1.2340892882594674,1.2834938466748314,1.3590939207683228,1.268051123747234,1.3250094857222894,1.2962360597764162,1.2559548216307397,1.289330425037706,1.2941548124884537,1.2846914434180903,1.2777557318412898
Typhlosion,Incinerate or Ember or Shadow Claw,Blast Burn,40,1.4674353466976409,1.45196306720041,1.4482608582192154,1.450119454899426,1.4509853585832189,1.4322505635574267,1.4555244163472059,1.444471105712664,1.466112260969152,1.4478935223097436,1.4644689368554056,1.4978695124051447,1.477607219504875,1.4611224916219523,1.4549907580338337,1.4412305849596099,1.323048604183931,1.5379355935299919,1.4314931906614785,1.5682976245138132,1.4499605070422041,1.6330609869685107,1.459213977201408,1.6017954707295414,1.4677361024610132,1.4309591203122634,1.4076770970660495,1.4019780216997535,1.439831963171109,1.422818517493956,1.4556580754558552,1.6207724859283057,1.3971920966397289,1.3607407542327947,1.434959253701281,1.4297135478877496,1.4469368859718328,1.3947053953970199,1.4338780117194303,1.5463490087731429,1.416878457755594,1.4788958793464904,1.4883731225682986,1.4540547340530923,1.4537856737426167,1.4639600036948088,1.464052808728716,1.4559968646778476
