Attacker,Fast Move,Charged Move,Level,"Arceus (Bug), Tier 5","Arceus (Grass), Tier 5","Shaymin, Tier 5","Mega Beedrill, Mega Tier","Mega Venusaur, Mega Tier","Amoonguss, Tier 3","Ariados, Tier 3","Bellossom, Tier 3","Gloom, Tier 3","Meganium, Tier 3","Parasect, Tier 3","Pinsir, Tier 3","Tangela, Tier 3","Venusaur, Tier 3","Vileplume, Tier 3"
(Boss weights),,,,12.5,12.5,25.0,17.5,17.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5
(Weather),,,,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme
(Friendship),,,,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend
(Attack Strategy),,,,No Dodging,No Dodging,No Dodging,No Dodging,No Dodging,No Dodging,No Dodging,No Dodging,No Dodging,No Dodging,No Dodging,No Dodging,No Dodging,No Dodging,No Dodging
(Dodge Strategy),,,,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging
Emboar,Ember,Blast Burn,40,1.4111312957779572,1.416902781382299,1.4114191819401425,1.4561163522435872,1.3433734374621973,1.3762526624457452,1.3649779063476801,1.417839016065318,1.3764794949707768,1.4199738982780992,1.4464099031388855,1.402525079463302,1.3739911420777913,1.4180613357757215,1.4056503558082365
Rayquaza,Air Slash,Hurricane,40,1.4197029665181813,1.4112934528121854,1.3760810242857553,1.3683320329257809,1.363819828164662,1.3413653438809645,1.3277924587866385,1.398683131501015,1.3887958390658373,1.331797219502749,1.416690662769695,1.3516770973098062,1.3763968446700598,1.3463456292340465,1.3880693478924158
Mega Charizard X,Fire Spin,Blast Burn,40,1.184526164532737,1.1825930018481903,1.1673219605833767,1.1641520791133433,1.1374461996207004,1.1373828060988502,1.1328539575470893,1.1798583224077346,1.1744319890212123,1.157125323009357,1.1994019727548721,1.1738049885756663,1.1665874681019468,1.15069692132329,1.1491495380368963
Shadow Ho-Oh,Incinerate,Sacred Fire+,40,1.170933683208235,1.1695421579344107,1.158256626201288,1.1600390486496006,1.1525085283198482,1.1677708963381324,1.1645488367844452,1.18195332652508,1.1793948689910838,1.177257866772443,1.2018886262651949,1.1866192803683444,1.1724414491046375,1.1578047996342986,1.1723274932830194
Mega Pidgeot,Gust,Brave Bird,40,1.2134317860423112,1.206148981126975,1.1743917997699054,1.162110806125466,1.176426336498444,1.1285588176205845,1.1019973242631165,1.1422939153651137,1.1347102390644295,1.1303366271220494,1.2205241403815572,1.1655873708102875,1.1512198672863618,1.149414043578764,1.1621794043005227
Darmanitan,Fire Fang,Overheat,40,1.3178035700920405,1.3136278744879475,1.2961009833919015,1.3174785226884564,1.2807358968573221,1.253768737483758,1.2259425179024224,1.261631116559229,1.2977468043817415,1.2670580786652652,1.3023382527376632,1.323007274665106,1.2918986889004014,1.2897236451789706,1.2629239412881925
Mega Houndoom,Fire Fang,Flamethrower,40,1.1573321807420434,1.156351840109288,1.2182121027718305,1.2624463413626044,1.211366056867316,1.1975782191043383,1.1778692366888204,1.2295661187670808,1.2002977237952934,1.2119490740411494,1.2792032341614399,1.280720194643168,1.2195703286949828,1.2148579672241402,1.2367280392118278
Blaziken,Fire Spin,Blaze Kick or Blast Burn,40,1.5690922798358153,1.5608104271587961,1.3679299085947476,1.3919013721503537,1.3626956551364209,1.3078827255484564,1.2895075837706105,1.3408362217262844,1.3382468985675406,1.3399057369243812,1.3578149553839696,1.3960374228659302,1.3434593563558515,1.344982458744471,1.331216611655076
Shadow Houndoom,Fire Fang,Flamethrower,40,1.335095611710235,1.340555010046581,1.363506882366493,1.4037753573534208,1.3740873376977658,1.2877152776323755,1.301632912289834,1.352063531573985,1.3374796468129417,1.3780498284922569,1.393671368927456,1.4446880258689758,1.359568824784446,1.344450457734326,1.38860286253993
Heatran,Fire Spin,Flamethrower,40,1.322781902003635,1.3212715898430492,1.357076907245348,1.3128326075385843,1.2797262247625178,1.3564842893854654,1.3739336561722055,1.384845612342147,1.3912753857569466,1.4092568221271071,1.426333891287725,1.4263316033030868,1.369245509884794,1.3865763994500029,1.3597769055782618
Shadow Honchkrow,Peck,Sky Attack,40,1.2590104104966435,1.2564044289581333,1.2135686670519383,1.236898519277361,1.2516541903934755,1.1581089588130522,1.1612470191293591,1.202426932040788,1.2372846665050907,1.1811949146098621,1.2569237843590464,1.238862349600674,1.218835370941197,1.2290455967557132,1.278622134834705
Shadow Moltres,Fire Spin,Sky Attack,40,1.0649824558620817,1.0627565217555026,1.068691442972397,1.0751398287832794,1.0228864110252698,1.0400801368266535,1.0330559659358551,1.0509384648695832,1.055432146209148,1.058183367901599,1.0936607439895074,1.059942945509729,1.0571053675934254,1.076690736975745,1.061247238768817
Entei,Fire Fang,Overheat,40,1.3308500245107393,1.324940075764805,1.3670336716150202,1.3779674273641749,1.3427281044738315,1.3341788384858189,1.3443905742667952,1.367322600389059,1.3359009961465234,1.3635346344385144,1.4708577111793506,1.3800452034256043,1.4039555433698978,1.336862547030367,1.3403571121829998
Ho-Oh,Incinerate,Brave Bird or Sacred Fire++,40,1.2473577224690369,1.2463535871253144,1.2442062391909443,1.2714837647535024,1.2314987673498046,1.2863768086851148,1.2486512629298456,1.3068071735576077,1.3079642206669149,1.3011340561240596,1.3455218325056912,1.3150072533890047,1.3000151869098446,1.2723694109927828,1.2609079551596838
Shadow Typhlosion,Incinerate,Blast Burn,40,1.273311646244355,1.2698266252575314,1.2495482317568416,1.3099591476188766,1.2859632421884837,1.2179677429848914,1.17914351768247,1.2117436061806208,1.2258424895807032,1.2353923609119306,1.2481690445045557,1.2657302833489674,1.2517588732569236,1.2265220893715723,1.2178308176113353
Victini,Confusion or Quick Attack,V-Create,40,1.3586747447190386,1.3564149526735043,1.4167511451026782,1.2982888146316676,1.278651426867281,1.294566170807326,1.3041225209255733,1.4581408353692737,1.3296079102083351,1.445773699380685,1.5452313362514174,1.456143099464426,1.4428308917265709,1.3207145101961935,1.3185127872291942
Shadow Ho-Oh,Incinerate,Sacred Fire+,40,1.161799727680481,1.1604145194373123,1.1292308800700563,1.1379363696094518,1.1414117140528046,1.143935485450661,1.13890288672682,1.1671238937298714,1.156076950856084,1.1442549190266715,1.1517685644663755,1.1579477134978176,1.1587022840964605,1.1272644113983514,1.1523131995264595
Shadow Ho-Oh,Incinerate,Sacred Fire+,40,1.1693153796091467,1.166690102247507,1.1583588192935337,1.1582404638583037,1.129268492592002,1.166268557954148,1.1647385480964754,1.183039777134839,1.1781356281301854,1.1771726509820948,1.1957874037006135,1.184187898644108,1.1948962745142964,1.1620316790181757,1.1694060274704225
Shadow Ho-Oh,Incinerate,Brave Bird or Sacred Fire+,40,1.138170036624844,1.1370082702331559,1.1052001328866272,1.1127178591749678,1.091303607199092,1.1244635958076419,1.108766353822155,1.1358982205908175,1.1319008137666429,1.1147469152118865,1.1488876038326417,1.1227081520245126,1.1494590356201397,1.1151088122683372,1.1242942549655264
Mega Charizard Y,Fire Spin,Blast Burn,40,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999999,0.9999999999999999,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Shadow Lugia,Extrasensory,Aeroblast+,40,1.39730585090432,1.3912383925748153,1.361830963130133,1.2813583634469927,1.214170021295495,1.236264903336932,1.2566592444683697,1.3884860104033292,1.1964476551143892,1.4156692476921326,1.5760411481203438,1.4254517190865243,1.4039766055076384,1.224560581943426,1.2404200657711428
Shadow Magmortar,Fire Spin,Fire Punch or Fire Blast,40,1.287711073649691,1.2866831003103307,1.2854249505680975,1.307639159312251,1.3093885334153619,1.2738783033231926,1.2394352154262478,1.26845891946541,1.2640728808534827,1.2713312432698716,1.3121847136753402,1.308316161343721,1.304218838567213,1.2724079974858025,1.2685370546143986
Shadow Scyther,Fury Cutter or Air Slash,Bug Buzz or Aerial Ace,40,1.6720033328657542,1.4719619782721942,1.5556552956970775,1.6696702465221158,1.603197039862026,1.5677948797636125,1.5101350079524916,1.5745098995299576,1.5949811052617244,1.5308103485930482,1.600333448872276,1.5474608337544515,1.5812396213544953,1.5654508035349826,1.5866115759933306
Moltres,Fire Spin,Sky Attack,40,1.2439077305731945,1.2386658743161196,1.2530614902126673,1.2365612895777733,1.2139957764511229,1.2314413320595239,1.2412609061311675,1.263923531608083,1.2541654079046978,1.2767895182823432,1.3195460190447657,1.2661865451939447,1.2580342817700179,1.2697256615284782,1.2571653156075058
Shadow Charizard,Fire Spin,Blast Burn,40,1.2408280515870518,1.2408043586811188,1.197457825171951,1.2501140594933686,1.205091366214868,1.1953992055014446,1.1501791723255195,1.1933326286393322,1.198819172687174,1.1685412626292073,1.2163777322202114,1.1855304344438249,1.187843599216341,1.1903110465412217,1.192483363645342
Shadow Staraptor,Wing Attack,Brave Bird,40,1.3093215655348769,1.3087654621570861,1.2470520378857448,1.236414251411036,1.2420594170475547,1.1884520584994853,1.1870054296323431,1.2079431516529904,1.197591872806828,1.1816832449496253,1.2764786517127922,1.2546508227409607,1.2328260437397787,1.2067397631675996,1.251411103850615
Shadow Ho-Oh,Incinerate,Sacred Fire+,40,1.161799727680481,1.1604145194373123,1.1314390698315904,1.1392023072560842,1.1436794645365576,1.1453530555766567,1.140150175302616,1.1687079378664478,1.1592788225529964,1.147124372790636,1.157144922411826,1.1579749475981027,1.1570989196231876,1.1258881871802862,1.1523275631701464
Shadow Salamence,Fire Fang,Fire Blast,40,1.354207296914026,1.355652726509348,1.305178364927141,1.3862674428677146,1.283860997150561,1.2975649641953066,1.2562493419105203,1.3230767394717862,1.3211362890233753,1.283063765816732,1.3340698911901847,1.2980768649582026,1.3151852839952143,1.3326304297353098,1.3253940944274396
Infernape,Fire Spin,Blast Burn,40,,,,,,1.4130323528795943,1.3807021841022398,1.4463578288377834,1.4434408427981877,1.456830886789037,1.4728903837344394,1.465519781196023,1.450292246398929,1.4641132479088583,1.4592609362778373
Reshiram,Fire Fang,Overheat,40,1.1905112459435843,1.1876818425182478,1.1658167785865,1.2045829033172983,1.1428189547185594,1.1614174948533402,1.1729989923467656,1.2055500619732908,1.1742281815093218,1.2013957093285634,1.2002516194321406,1.2001544037056613,1.184635595456195,1.1719058312236648,1.1904972266765048
Shadow Lugia,Extrasensory,Aeroblast+,40,1.3860112823751178,1.3869596897109278,1.3589170950527505,1.2599458215426989,1.1976782824958734,1.2315478169112912,1.25008575467265,1.3938840801100685,1.194168352087968,1.4149441302408066,1.5634042997904622,1.4288803317054697,1.4023264609179102,1.221119651953117,1.236014399690731
Shadow Lugia,Extrasensory,Aeroblast+,40,1.3609825708568548,1.3616501542437776,1.332252768975839,1.2169175606011826,1.148061705091218,1.1723284393417466,1.2088917419635687,1.392444884688761,1.1676225907195683,1.4092352988741774,1.55851557424306,1.412959176515412,1.3999775706708626,1.1762881402853822,1.177742274299984
Yveltal,Gust,Psychic or Hurricane,40,1.4003425059839414,1.3963974408940283,1.4146993902953595,1.4308979209895916,1.4089072246188363,1.3903328885613422,1.3940076545719613,1.456384101421379,1.4035413682362274,1.4179600016504295,1.4992547912373873,1.4397940045121222,1.4244288650316044,1.4144624474607952,1.4266427015126333
Shadow Entei,Fire Fang,Overheat,40,1.1655064255807857,1.1564278942669832,1.187274835443603,1.1538446006904224,1.1570506455551766,1.1205909474508613,1.1392797295445725,1.1510887181331972,1.1312499661712943,1.1438217909746264,1.1700507732690495,1.18079569026321,1.1494213639544792,1.1428509737096266,1.1547633870170684
Chandelure,Fire Spin or Incinerate,Overheat,40,1.3245480135396432,1.325351858243374,1.3091504834231766,1.2850993247963043,1.259964765905088,1.261654067293062,1.2325744833077932,1.2683386725269927,1.2368705920082554,1.2544300070863823,1.244707648736068,1.2231666830900207,1.276053032984786,1.2375954276811947,1.2691890279417928
Lugia,Extrasensory,Aeroblast++,40,1.4221948834265272,1.418870329692544,1.436764611802151,1.3129128173732127,1.2375217929493298,1.2974810395101843,1.2906277691115393,1.5162275400098542,1.3229704675342098,1.5121252200924926,1.7842179610221538,1.4892583493068152,1.5307202364280392,1.3275152564425485,1.296577369923045
Shadow Lugia,Extrasensory,Aeroblast+,40,1.3713205513999376,1.3662724138043796,1.3347969140772111,1.236449803450274,1.160969352361193,1.1748297194094954,1.2087056614900462,1.386876154007464,1.1714970494797643,1.4096070214302363,1.574514292283334,1.4133024954207163,1.401120949141219,1.1791442796591385,1.184375298284694
Charizard,Fire Spin,Blast Burn,40,1.4452359697702533,1.4299893980008707,1.4285960485100282,1.4586972402590976,1.3966212102733853,1.3936904599782212,1.3732363918561437,1.3976820113785346,1.4084756260582538,1.4161296322653552,1.4735363451258532,1.4132158885640713,1.4316835705718336,1.44013724312479,1.4096351910373806
Shadow Arcanine,Fire Fang,Flamethrower,40,1.283266476099179,1.2797147062382148,1.2763211009032756,1.2906388709369128,1.239306457131769,1.2553188350699975,1.2270147618427918,1.2553478602591794,1.2869883069950547,1.2822886780765808,1.3239714276258838,1.2982292688485102,1.2943118556186766,1.2846182416578464,1.2769049345644992
Flareon,Fire Spin,Overheat,40,,,,,,1.384277225038073,1.336011387265044,1.4051159591027425,1.3813242334058868,1.383575383250968,1.4626623307630273,1.4411677982202193,1.4052309112367616,1.4035693983823885,1.4238552166785996
Shadow Zapdos,Thunder Shock or Charge Beam,Drill Peck,40,1.2270670930064838,1.2952176650174558,1.3359267352677857,1.2688788850500428,1.2859385052468484,1.2880777976639866,1.2280501479948884,1.3284262193905645,1.3216506189968247,1.2954844371999885,1.443172292948699,1.249415382130693,1.3362265443535368,1.329852694831413,1.3382628340811562
Honchkrow,Peck,Sky Attack,40,1.413776968628732,1.4133644545955688,1.404463048888772,1.4248965150608417,1.4083541737540555,1.3795687473816796,1.369949049780898,1.41797184520146,1.429534176437121,1.3886158032620544,1.4784782301988604,1.4668301956092273,1.4417912165712468,1.3810173172896716,1.5069010043331859
