Attacker,Fast Move,Charged Move,Level,"Arceus (Water), Tier 5","Keldeo, Tier 5","Manaphy, Tier 5","Phione, Tier 5","Kyogre, Tier 5","Suicune, Tier 5","Mega Blastoise, Mega Tier","Mega Gyarados, Mega Tier","Mega Sharpedo, Mega Tier","Mega Slowbro, Mega Tier","Alomomola, Tier 3","Azumarill, Tier 3","Cloyster, Tier 3","Crawdaunt, Tier 3","Dewgong, Tier 3","Floatzel, Tier 3","Lapras, Tier 3","Lumineon, Tier 3","Octillery, Tier 3","Poliwrath, Tier 3","Sharpedo, Tier 3","Slowbro, Tier 3","Slowking, Tier 3","Starmie, Tier 3","Vaporeon, Tier 3","Walrein, Tier 3"
(Battle settings),,,,"Extreme,Best Friend,No Dodging,Realistic Dodging","Extreme,Best Friend,No Dodging,Realistic Dodging","Extreme,Best Friend,No Dodging,Realistic Dodging","Extreme,Best Friend,No Dodging,Realistic Dodging","Extreme,Best Friend,No Dodging,Realistic Dodging","Extreme,Best Friend,No Dodging,Realistic Dodging","Extreme,Best Friend,No Dodging,Realistic Dodging","Extreme,Best Friend,No Dodging,Realistic Dodging","Extreme,Best Friend,No Dodging,Realistic Dodging","Extreme,Best Friend,No Dodging,Realistic Dodging","Extreme,No Friend,No Dodging,Realistic Dodging","Extreme,No Friend,No Dodging,Realistic Dodging","Extreme,No Friend,No Dodging,Realistic Dodging","Extreme,No Friend,No Dodging,Realistic Dodging","Extreme,No Friend,No Dodging,Realistic Dodging","Extreme,No Friend,No Dodging,Realistic Dodging","Extreme,No Friend,No Dodging,Realistic Dodging","Extreme,No Friend,No Dodging,Realistic Dodging","Extreme,No Friend,No Dodging,Realistic Dodging","Extreme,No Friend,No Dodging,Realistic Dodging","Extreme,No Friend,No Dodging,Realistic Dodging","Extreme,No Friend,No Dodging,Realistic Dodging","Extreme,No Friend,No Dodging,Realistic Dodging","Extreme,No Friend,No Dodging,Realistic Dodging","Extreme,No Friend,No Dodging,Realistic Dodging","Extreme,No Friend,No Dodging,Realistic Dodging"
(Boss weights),,,,12.5,12.5,12.5,12.5,12.5,12.5,8.75,8.75,8.75,8.75,1.5625,1.5625,1.5625,1.5625,1.5625,1.5625,1.5625,1.5625,1.5625,1.5625,1.5625,1.5625,1.5625,1.5625,1.5625,1.5625
Shadow Arcanine,Thunder Fang,Wild Charge,40,1.2538060685127013,,1.310716461852261,,,1.2902221167529344,1.3058323695772773,,,,1.2570546985116455,1.2386689143859153,1.212787511272314,,,,,1.261986608412517,1.281426085361703,,,,,,,
Shadow Arcanine(Unscaled),Thunder Fang,Wild Charge,40,2.8380358,,2.560261,,,2.7994895,2.91651,,,,0.62199426,0.69310933,1.138167,,,,,0.77430993,0.6735369,,,,,,,
Chandelure,Hex,Energy Ball,40,,,,,,,,,,1.653881061290998,,,,,,,,,,,,1.6252120810110087,1.5755314526832565,,,
Chandelure(Unscaled),Hex,Energy Ball,40,,,,,,,,,,3.9962394,,,,,,,,,,,,1.088639,1.0549893,,,
Shadow Raikou,Volt Switch or Thunder Shock,Wild Charge,40,1.0,1.0738978921672393,1.0,1.0027100791957215,1.0,1.0092416106327788,1.0,1.0,1.0,1.0221782675996383,1.0015339038258588,1.0,1.0,1.0,1.0028831035387282,1.0157101978447027,1.0,1.018988392903564,1.0,1.0751187422216333,1.011605684471253,1.0,1.0,1.0,1.0,1.0
Shadow Raikou(Unscaled),Volt Switch or Thunder Shock,Wild Charge,40,2.2635365,1.8593205,1.9533294,1.5231128,2.1855931,2.1898255,2.233449,2.3285165,1.4220786,2.4698687,0.49556184,0.5595598,0.9384719,0.54121673,0.6461285,0.45417708,0.643945,0.6252149,0.5256151,0.6782497,0.3463035,0.66984427,0.66960853,0.6799087,0.6048952,0.66206414
Mega Venusaur,Vine Whip,Frenzy Plant,40,1.1116116749166625,1.1278168716145054,1.0871506362418952,1.078450690001726,1.0799437919162538,1.0848041129458086,1.0967196475048233,1.0666167493337495,1.0859532658743334,1.1398914976651298,1.1143824027209541,1.113101691722672,1.1206900281191159,1.0949750204506796,1.1306659775156729,1.0987911208672716,1.123029606565778,1.1040304985149887,1.118006769592426,1.1787059597206844,1.0803647889764545,1.1217606444554642,1.1375185139890616,1.1196561685414528,1.0938893216543957,1.0900454448416432
Mega Venusaur(Unscaled),Vine Whip,Frenzy Plant,40,2.5161736,1.9526745,2.1235633,1.6381625,2.3603177,2.353779,2.4494674,2.4836347,1.5443109,2.7542968,0.5513996,0.62284696,1.0517361,0.5926188,0.7284553,0.4913269,0.7231693,0.6773937,0.58764124,0.74359876,0.36984184,0.75140494,0.7616921,0.76126397,0.6616884,0.72168
Lucario,Counter,Aura Sphere,40,,,,,,,,1.1220089271430973,1.1629454236917707,,,,1.0384776997585117,1.1010855115288103,1.0511376423896155,,1.0760284806932268,,,,1.0878160089261104,,,,,1.090235381121835
Lucario(Unscaled),Counter,Aura Sphere,40,,,,,,,,2.6126163,1.6537998,,,,0.97458214,0.5959259,0.6772175,,0.69290316,,,,0.37239262,,,,,0.72180575
Shadow Torterra,Razor Leaf,Frenzy Plant,40,1.1140731329050801,1.1956922689503229,1.1474419009922237,1.1171342627453578,1.2255316417314825,1.1436315489733422,,1.1500456621200665,1.129046172272053,1.1455256547689554,1.1392415152976276,1.1466141777876109,,1.125597595624954,,1.119804859298141,1.206673768722484,1.1509691323305482,1.1491615442554828,,1.1442652849065285,1.1395812343068934,,1.1558234215858687,1.1431089220083084,1.17488254234703
Shadow Torterra(Unscaled),Razor Leaf,Frenzy Plant,40,2.5217452,2.0701923,2.241332,1.6969227,2.6785135,2.4814212,,2.6779003,1.6055924,2.7679105,0.56369996,0.6415992,,0.60919225,,0.50072324,0.77703154,0.70619357,0.60401666,,0.39171693,0.76334196,,0.7858544,0.6914611,0.7778476
Shadow Magneton,Spark or Thunder Shock,Discharge,40,1.2458938921462057,,1.2917244270218837,1.2939792081112516,1.3572431666260294,1.2557641851339951,1.3349399963912318,,,,1.2754162334469932,,,,,,,1.2578502367233557,1.2801567915381427,,,,,,,
Shadow Magneton(Unscaled),Spark or Thunder Shock,Discharge,40,2.8201263,,2.5231633,1.9655495,2.9663813,2.7247236,2.9815204,,,,0.6310796,,,,,,,0.771772,0.67286974,,,,,,,
Shadow Tangela,Vine Whip,Power Whip,40,,,1.315575447745782,,1.3443374706847306,1.2724191969732506,,,,,,,,,,1.3021605639761653,,,,,,,,,1.2895484044178231,
Shadow Tangela(Unscaled),Vine Whip,Power Whip,40,,,2.5697522,,2.9381747,2.7608612,,,,,,,,,,0.582264,,,,,,,,,0.78004164,
Shadow Shiftry,Snarl or Razor Leaf,Leaf Blade,40,1.2728584230914766,,1.2021464480082058,1.2018467195638805,1.2839108066364229,1.208991879474229,,1.2501643857795295,1.2278211626277198,1.1784520981386346,1.2523510878655792,,,1.2176391147405956,,1.2331344070452248,,1.2838660919483094,1.3001499766654345,,,1.1657846979865931,,,1.234985994268098,
Shadow Shiftry(Unscaled),Snarl or Razor Leaf,Leaf Blade,40,2.8811615,,2.348188,1.8256006,2.8061066,2.6232383,,2.9110284,1.7460582,2.84747,0.6196669,,,0.65900666,,0.5513988,,0.7877344,0.68337846,,,0.7808942,,,0.7470371,
Mega Aerodactyl,Rock Throw,Iron Head,40,,,,,,,,,,,,,1.4538518414882746,,1.4721339312183848,,1.4312285521278991,,,,,,,,,1.4132459583145525
Mega Aerodactyl(Unscaled),Rock Throw,Iron Head,40,,,,,,,,,,,,,1.3643991,,0.9484532,,0.92163247,,,,,,,,,0.93565947
Terrakion,Smack Down,Sacred Sword,40,,,,,,,,,,,,,1.0337240784726747,,1.0660829061062813,,1.0669502830210653,,,,,,,,,1.0713800780691731
Terrakion(Unscaled),Smack Down,Sacred Sword,40,,,,,,,,,,,,,0.970121,,0.6868463,,0.6870573,,,,,,,,,0.70932233
Zarude,Vine Whip,Power Whip,40,1.0832734528469057,1.1831175270760155,1.0967272596214444,1.120321104160761,1.1161137908058,1.113034850230667,1.1185726649679488,1.0919467824256344,1.1281896092100676,1.1096180169200605,1.1632048771908876,1.1453292391626417,1.1631966817546695,1.1415964543446393,1.1646579777764325,1.1354303208998868,1.1644862527079176,1.16282107678038,1.1709713819104512,,1.110852926581013,1.1348404906113476,1.135847089642063,1.1457583937372768,1.1333897838832248,1.1466807430470407
Zarude(Unscaled),Vine Whip,Power Whip,40,2.452029,2.0484207,2.1422696,1.7017635,2.4393706,2.4150333,2.498275,2.5426161,1.6043743,2.6811476,0.5755571,0.6408802,1.0916274,0.6178511,0.75035536,0.5077102,0.7498651,0.7134655,0.61548024,,0.38027886,0.7601664,0.7605729,0.7790111,0.68558204,0.7591762
Zapdos,Thunder Shock,Thunderbolt,40,1.222511322437257,,1.2214109919197447,1.262076231658776,1.305641246762721,1.2440120818151832,1.2665921630625998,1.235069925422474,1.2459501886885858,,1.2519323352334704,1.2346163895261952,,,,1.2444174772425936,,1.2588131349884601,1.2672906467108727,,1.2348322317273959,,,,1.2626321881873093,1.2143688978533107
Zapdos(Unscaled),Thunder Shock,Thunderbolt,40,2.767199,,2.385818,1.917089,2.8536005,2.6992242,2.828869,2.8758807,1.7718391,,0.6194597,0.6908417,,,,0.55644405,,0.7723628,0.6661071,,0.42272076,,,,0.76376015,0.8039901
Shadow Alakazam,Confusion or Counter,Focus Blast,40,,1.5753104973473402,,,,,,,,,,,,1.3287104040556912,,,,,,,,,,,,
Shadow Alakazam(Unscaled),Confusion or Counter,Focus Blast,40,,2.727454,,,,,,,,,,,,0.7191203,,,,,,,,,,,,
Mega Beedrill,Poison Jab,Drill Run,40,,,,,,,,,,,,1.4598236864049203,,,,,,,,,,,,,,
Mega Beedrill(Unscaled),Poison Jab,Drill Run,40,,,,,,,,,,,,0.81685865,,,,,,,,,,,,,,
Sceptile,Bullet Seed or Fury Cutter,Frenzy Plant,40,,,1.3034309523012348,1.269921346742013,,1.2987790014744858,,,,,1.2909054325191247,,,,,1.2523661796341705,,1.321865043321458,1.3129731242500453,,,,,,1.2493335209140362,
Sceptile(Unscaled),Bullet Seed or Fury Cutter,Frenzy Plant,40,,,2.54603,1.9290057,,2.818056,,,,,0.6387437,,,,,0.55999833,,0.8110492,0.6901185,,,,,,0.75571585,
Shadow Vileplume,Razor Leaf,Solar Beam,40,,,,1.2431189755445078,,1.295578298433297,1.2610356000965324,,,,1.2737346142259565,1.249246282524227,,,,1.274782572369146,,1.2679426589845597,1.2779196411975227,,,,,,1.2503840334656318,
Shadow Vileplume(Unscaled),Razor Leaf,Solar Beam,40,,,,1.888293,,2.8111112,2.8164587,,,,0.63024753,0.699028,,,,0.57002187,,0.77796435,0.67169386,,,,,,0.7563513,
Magnezone,Spark,Wild Charge,40,1.1719974473572659,,1.2280255444882977,1.2235074715789283,1.2269395433212156,1.226843928810443,1.212237664706022,1.212275283426164,1.2295586193336994,,1.2409978794382877,1.2346134765220804,1.214282920991028,1.2258734684716783,,1.22776677195594,1.203513654116423,1.2444465233717152,1.229437852907955,,,,,,1.2507396322536533,
Magnezone(Unscaled),Spark,Wild Charge,40,2.652859,,2.3987384,1.8585032,2.6815906,2.6619732,2.707471,2.822803,1.748529,,0.6140493,0.69084007,1.1395704,0.66346323,,0.54899865,0.7749966,0.76354796,0.6462111,,,,,,0.7565664,
Shadow Exeggutor,Confusion or Bullet Seed,Solar Beam or Seed Bomb,40,1.2915292066198183,1.2226463872221824,1.145287374469457,1.1442013482324709,1.2772203572568013,1.18592605964872,1.2704719024253521,1.2297928745619795,,1.175102899920779,1.1611103056275784,1.1808671209046826,,1.198470712463009,,1.166118527464349,1.1752268594367532,1.2017390842328997,1.1849406533411997,1.1306067348321047,1.1638347641337967,,,1.1843164236610004,1.098702155348563,1.220079522808772
Shadow Exeggutor(Unscaled),Confusion or Bullet Seed,Solar Beam or Seed Bomb,40,2.9234235,2.11686,2.2371235,1.7380375,2.791484,2.5731907,2.8375342,2.863593,,2.8393774,0.5745207,0.66076577,,0.6486324,,0.5214325,0.75678146,0.7373442,0.6228227,0.71325487,0.39841616,,,0.80522704,0.66459966,0.8077709
Shadow Tangrowth,Vine Whip,Power Whip,40,1.1195574712402472,1.179511896754921,1.1129012341697206,1.0784989455536491,1.1319066664330153,1.1164059397357318,1.129437609723795,1.1138388755243949,1.1052429169526916,1.1010380503118886,1.1230610106012726,1.1269718446536008,1.1145758333307583,1.0915585887376391,1.1300724384614549,1.0770201011856744,1.1171679879492815,1.1537941500181808,1.142009999332211,1.2080201214763455,1.121873562427329,1.1401902415318115,1.1592216425319433,1.1345479179778108,1.0754928126392804,1.0876576097294741
Shadow Tangrowth(Unscaled),Vine Whip,Power Whip,40,2.5341592,2.042178,2.1738627,1.6382358,2.4738874,2.4223478,2.5225413,2.5935922,1.5717423,2.660416,0.5556938,0.63060814,1.0459981,0.59076977,0.7280729,0.48159194,0.71939474,0.7079269,0.6002577,0.7620919,0.38405156,0.7637499,0.7762247,0.771389,0.65056044,0.7200991
Shadow Electivire,Thunder Shock,Wild Charge,40,1.0256602886677553,1.1073036438369377,1.017406997508971,1.0,1.1132786336120846,1.0016362538888277,1.0645475226880041,1.1081291457457998,1.129960045809001,1.0237469187136359,1.0320182264104132,1.0151355583442556,1.0110319339343032,1.0344789969814865,1.0073713390793626,1.0367208948057802,1.0323806380979743,1.0294730315958738,1.0397864330762188,1.1021474850524349,1.051029572239133,1.0258640116455724,1.0154186655895796,1.0381605647934788,1.0201331734819519,1.0613477721357933
Shadow Electivire(Unscaled),Thunder Shock,Wild Charge,40,2.3216195,1.9171584,1.987331,1.5189962,2.4331741,2.1733236,2.3776126,2.580297,1.606892,2.473659,0.51064557,0.56802905,0.94882506,0.55987734,0.64902014,0.46357206,0.66479635,0.6316479,0.54652745,0.69530106,0.3597995,0.68716913,0.679933,0.7058544,0.61707366,0.7026803
Shadow Lugia,Extrasensory,Hydro Pump,40,,2.116271369209048,,,,,,,,,,,,,,,,,,2.2290281491335637,,,,,,
Shadow Lugia(Unscaled),Extrasensory,Hydro Pump,40,,3.6640604,,,,,,,,,,,,,,,,,,1.4062053,,,,,,
Shadow Absol,Snarl,Thunder,40,,,,,,,,,,1.3286856927744877,,,,,,,,,,,,1.3123921475061657,1.286513285605845,,,
Shadow Absol(Unscaled),Snarl,Thunder,40,,,,,,,,,,3.2104764,,,,,,,,,,,,0.87909836,0.86146027,,,
Raikou,Volt Switch or Thunder Shock,Wild Charge,40,1.1657389222572732,,1.162643689282514,1.2010151835797878,1.1769952970660458,1.1748720476927244,1.2042410639329577,1.175452997648932,1.1944731465616598,,1.1862097967663323,1.1937424739947364,1.185143209935215,1.1838667662767925,1.2066769418459002,1.1861389129156303,1.1736670988981979,1.1921795319577753,1.1976761322115745,,1.2050058522389415,1.1736751887121464,1.1766627285945717,1.2039358225597054,1.1706251925953457,1.1848426045246914
Raikou(Unscaled),Volt Switch or Thunder Shock,Wild Charge,40,2.6386926,,2.2710261,1.8243375,2.5724328,2.549206,2.689611,2.7370617,1.6986347,,0.58694,0.6679703,1.1122236,0.6407285,0.77742696,0.53038466,0.75577706,0.7314788,0.62951666,,0.41251028,0.7861796,0.7879034,0.81856644,0.70810556,0.7844418
Latios,Zen Headbutt,Solar Beam,40,,1.3542542908802857,,,,,,,,,,,,,,,,,,1.3660468743736232,,,,,,
Latios(Unscaled),Zen Headbutt,Solar Beam,40,,2.3447227,,,,,,,,,,,,,,,,,,0.8617847,,,,,,
Mega Absol,Snarl,Thunder,40,,,,,,,,,,1.2146285376387287,,,,,,,,,,,,1.1832691500070607,1.144483703037654,1.2783914957993625,,
Mega Absol(Unscaled),Snarl,Thunder,40,,,,,,,,,,2.9348824,,,,,,,,,,,,0.79260606,0.76635605,0.8691895,,
Shadow Mewtwo,Confusion or Psycho Cut,Thunderbolt,40,1.1285109385247378,1.0,1.1131299718316838,1.1128661809687215,1.1198601423110275,1.127498711501335,1.1527234335773955,,,1.1978294897801158,1.1123213798723797,1.1183412389524765,1.1074711986581591,,1.1174345888608985,1.1093017471924493,1.139609593987064,1.1407221704391863,1.1242110434041945,1.0,,1.2082940561692048,1.2105308754056643,1.2382827870859718,1.1266040795165841,1.1021390465280296
Shadow Mewtwo(Unscaled),Confusion or Psycho Cut,Thunderbolt,40,2.5544257,1.7313755,2.1743095,1.6904395,2.4475586,2.4464166,2.574549,,,2.8942912,0.5503798,0.6257788,1.0393306,,0.7199307,0.49602675,0.7338459,0.6999064,0.5909023,0.63086027,,0.80936885,0.8105818,0.84191924,0.6814774,0.72968674
Tangrowth,Vine Whip,Power Whip,40,1.287569252804185,,1.2899677852593627,1.2764519753242307,1.2878753140280321,,1.3405824355066984,,,,,,,,,1.3044890774669735,,,,,,,,,1.2971183107420923,
Tangrowth(Unscaled),Vine Whip,Power Whip,40,2.91446,,2.519732,1.9389257,2.8147714,,2.9941225,,,,,,,,,0.5833052,,,,,,,,,0.78462064,
