Attacker,Fast Move,Charged Move,Level,[Blanks],[Average],[Average T5/Mega only],"Arceus (Water), Tier 5","Keldeo, Tier 5","Manaphy, Tier 5","Phione, Tier 5","Kyogre, Tier 5","Suicune, Tier 5","Mega Blastoise, Mega Tier","Mega Gyarados, Mega Tier","Mega Sharpedo, Mega Tier","Mega Slowbro, Mega Tier","Alomomola, Tier 3","Azumarill, Tier 3","Cloyster, Tier 3","Crawdaunt, Tier 3","Dewgong, Tier 3","Floatzel, Tier 3","Lapras, Tier 3","Lumineon, Tier 3","Octillery, Tier 3","Poliwrath, Tier 3","Sharpedo, Tier 3","Slowbro, Tier 3","Slowking, Tier 3","Starmie, Tier 3","Vaporeon, Tier 3","Walrein, Tier 3"
Lucario(Unscaled),Counter,Aura Sphere,40,18,1.777893676,2.13320805,,,,,,,,2.6126163,1.6537998,,,,0.97458214,0.5959259,0.6772175,,0.69290316,,,,0.37239262,,,,,0.72180575
Chandelure,Hex,Energy Ball,40,22,1.65108618,1.653881061,,,,,,,,,,1.653881061,,,,,,,,,,,,1.625212081,1.575531453,1.726429446,,
Machamp(Unscaled),Counter,Dynamic Punch,40,18,1.853005186,2.2107363,,,,,,,,2.7337441,1.6877285,,,,1.1103997,0.6387072,0.7590362,,0.7549851,,,,0.40869716,,,,,0.7685583
Shadow Weavile,Feint Attack or Snarl,Avalanche,40,22,1.712971059,1.706669774,,,,,,,,,,1.706669774,,,,,,,,,,,,1.684446894,1.698366955,1.814911326,,
Alakazam,Confusion,Focus Blast,40,24,1.722870707,1.727090513,,1.727090513,,,,,,,,,,,,,,,,,,1.685361324,,,,,,
Shadow Raikou(Unscaled),Thunder Shock or Volt Switch,Wild Charge,40,0,1.828930191,2.044247671,2.2635365,1.8593205,1.9533294,1.5231128,2.1855931,2.1898255,2.233449,2.3285165,1.4220786,2.4698687,0.49556184,0.5595598,0.9384719,0.54121673,0.6461285,0.45417708,0.643945,0.6252149,0.5256151,0.6782497,0.3463035,0.66984427,0.66960853,0.6799087,0.6048952,0.66206414
Darkrai,Feint Attack or Snarl,Focus Blast,40,22,1.774254885,1.774945517,,,,,,,,,,1.774945517,,,,,,,,,,,,1.748163196,1.739486652,1.828668908,,
Metagross,Zen Headbutt,Earthquake,40,24,1.824399025,1.827237535,,1.827237535,,,,,,,,,,,,,,,,,,1.799167825,,,,,,
Exeggutor (Alola)(Unscaled),Bullet Seed,Solar Beam,40,24,1.852362011,1.9942789,,,,1.9942789,,,,,,,,,,,,0.59087855,,,,,,,,,,
Shadow Electivire(Unscaled),Thunder Shock,Wild Charge,40,0,1.913828836,2.141371219,2.3216195,1.9171584,1.987331,1.5189962,2.4331741,2.1733236,2.3776126,2.580297,1.606892,2.473659,0.51064557,0.56802905,0.94882506,0.55987734,0.64902014,0.46357206,0.66479635,0.6316479,0.54652745,0.69530106,0.3597995,0.68716913,0.679933,0.7058544,0.61707366,0.7026803
Breloom(Unscaled),Bullet Seed or Counter,Grass Knot or Dynamic Punch,40,18,1.950519588,2.185884629,,,,1.9744296,,,,2.8345373,1.7386177,,,,,0.6449852,,0.5966513,,,,,0.42437986,,,,0.7790615,0.8219056
Shadow Magnezone(Unscaled),Charge Beam or Spark,Wild Charge,40,0,1.90367029,2.127395285,2.268833,2.063756,2.0569947,1.5898596,2.380514,2.261712,2.2776623,2.4463425,1.5052036,2.4162798,0.51743925,0.57719254,0.9586871,0.5691122,0.6728508,0.47052628,0.66522336,0.64375925,0.5418222,0.73230004,0.35902613,0.6846168,0.6960774,0.7098508,0.64764714,0.72819376
Shadow Zapdos(Unscaled),Thunder Shock,Thunderbolt,40,0,1.926345004,2.153256364,2.4047558,1.8492969,2.0413191,1.5872513,2.4754674,2.2975357,2.3531213,2.4736989,1.5165313,2.5210187,0.51933324,0.57689196,0.9966949,0.56571364,0.6914839,0.46805486,0.69098955,0.64450973,0.5560109,0.7016031,0.35580784,0.7060446,0.7073928,0.73400956,0.6369257,0.69675714
Shadow Staraptor,Wing Attack,Close Combat,40,24,1.883631271,1.884322494,,1.884322494,,,,,,,,,,,,,,,,,,1.87748707,,,,,,
Zekrom(Unscaled),Charge Beam,Wild Charge,40,0,1.968171925,2.198361142,2.530865,1.9583259,2.1019604,1.6037724,2.2803435,2.324337,2.4890373,2.5218134,1.512868,2.6416903,0.54386055,0.61758316,1.0512451,0.58056027,0.71153635,0.4813461,0.7062338,0.67308855,0.5838792,0.7276777,0.3731127,0.7360609,0.73298764,0.73515284,0.6558143,0.7101226
Yveltal,Snarl,Focus Blast,40,25,1.937587692,1.937587692,,,,,,,,,,1.937587692,,,,,,,,,,,,,,,,
Zarude(Unscaled),Vine Whip,Power Whip,40,0,2.02065039,2.254080426,2.452029,2.0484207,2.1422696,1.7017635,2.4393706,2.4150333,2.498275,2.5426161,1.6043743,2.6811476,0.5755571,0.6408802,1.0916274,0.6178511,0.75035536,0.5077102,0.7498651,0.7134655,0.61548024,0.7785032,0.38027886,0.7601664,0.7605729,0.7790111,0.68558204,0.7591762
Shadow Tangrowth(Unscaled),Vine Whip,Power Whip,40,0,2.027110946,2.264742872,2.5341592,2.042178,2.1738627,1.6382358,2.4738874,2.4223478,2.5225413,2.5935922,1.5717423,2.660416,0.5556938,0.63060814,1.0459981,0.59076977,0.7280729,0.48159194,0.71939474,0.7079269,0.6002577,0.7620919,0.38405156,0.7637499,0.7762247,0.771389,0.65056044,0.7200991
Shadow Mewtwo(Unscaled),Confusion or Psycho Cut,Thunderbolt,40,3,2.034633129,2.262397903,2.5544257,1.7313755,2.1743095,1.6904395,2.4475586,2.4464166,2.574549,,1.822984,2.8942912,0.5503798,0.6257788,1.0393306,,0.7199307,0.49602675,0.7338459,0.6999064,0.5909023,0.63086027,,0.80936885,0.8105818,0.84191924,0.6814774,0.72968674
Thundurus (Therian)(Unscaled),Volt Switch,Thunderbolt,40,0,2.057395424,2.300582868,2.5289369,1.9785271,2.1710026,1.6763896,2.649307,2.4307613,2.4861639,2.6700773,1.6283609,2.768751,0.5470932,0.6057509,1.0727392,0.60484105,0.7234359,0.49856701,0.7284057,0.6819741,0.57996804,0.74544126,0.3774806,0.7445965,0.7475507,0.7843333,0.6696923,0.75746214
Shadow Venusaur(Unscaled),Vine Whip,Frenzy Plant,40,0,2.093333682,2.340320411,2.7228599,1.9912149,2.2065604,1.6942333,2.637688,2.4389892,2.5761673,2.6131678,1.6242245,2.8814142,0.57181764,0.63067865,1.0936106,0.6096658,0.75190353,0.49304435,0.7404993,0.69056356,0.60553336,0.7437333,0.39201453,0.77866715,0.7966799,0.77364504,0.6569171,0.77090174
Shadow Torterra(Unscaled),Razor Leaf,Frenzy Plant,40,0,2.131621139,2.382474489,2.5217452,2.0701923,2.241332,1.6969227,2.6785135,2.4814212,3.0544186,2.6779003,1.6055924,2.7679105,0.56369996,0.6415992,1.1543121,0.60919225,0.7982936,0.50072324,0.77703154,0.70619357,0.60401666,0.7866565,0.39171693,0.76334196,0.80996054,0.7858544,0.6914611,0.7778476
Raikou(Unscaled),Thunder Shock or Volt Switch,Wild Charge,40,2,2.166827489,2.433064348,2.6386926,,2.2710261,1.8243375,2.5724328,2.549206,2.689611,2.7370617,1.6986347,2.9018326,0.58694,0.6679703,1.1122236,0.6407285,0.77742696,0.53038466,0.75577706,0.7314788,0.62951666,,0.41251028,0.7861796,0.7879034,0.81856644,0.70810556,0.7844418
Shadow Manectric(Unscaled),Thunder Fang,Wild Charge,40,4,2.146649914,2.485554818,2.9650834,,2.3775318,1.7721205,2.860923,2.6454282,2.974162,,1.8128402,,0.57563305,0.647692,1.1382501,0.6476674,0.7587867,0.54832596,0.7550725,0.7208323,0.611849,,0.41968954,0.7932879,0.7944286,0.83158284,0.75415635,0.8138294
Shadow Victreebel(Unscaled),Acid or Razor Leaf,Leaf Blade,40,10,2.190836733,2.409398749,,,2.3240697,1.7999164,2.669583,2.5954459,2.895411,2.8666375,1.7028906,,0.6078866,0.6659233,,0.6600826,,0.54398286,,0.7437643,0.6365483,,0.42052913,,,0.82874733,0.7192358,
Shadow Lugia,Extrasensory,Hydro Pump,40,24,2.12767374,2.116271369,,2.116271369,,,,,,,,,,,,,,,,,,2.229028149,,,,,,
Shadow Scizor,Fury Cutter,Iron Head,40,24,2.120394636,2.104560283,,,,,,,,,,2.104560283,,,,,,,,,,,2.268181931,,,,,
Electivire(Unscaled),Thunder Shock,Wild Charge,40,1,2.201904857,2.447095838,2.706301,2.1836784,2.3335934,1.8386397,2.7426062,2.582839,2.6435761,2.8156595,1.7604526,2.8495688,0.58700216,0.66241044,1.0835553,0.6594705,0.7550036,0.54062474,0.7692462,0.73388594,0.6374528,,0.4198642,0.7885556,0.79328465,0.84279245,0.7379447,0.78683066
Shadow Exeggutor(Unscaled),Bullet Seed or Confusion,Solar Beam or Seed Bomb,40,2,2.236470976,2.476915702,2.9234235,2.11686,2.2371235,1.7380375,2.791484,2.5731907,2.8375342,2.863593,1.8256106,2.8393774,0.5745207,0.66076577,,0.6486324,,0.5214325,0.75678146,0.7373442,0.6228227,0.71325487,0.39841616,0.7944367,0.80426675,0.80522704,0.66459966,0.8077709
Magnezone(Unscaled),Spark,Wild Charge,40,3,2.240038615,2.498083529,2.652859,,2.3987384,1.8585032,2.6815906,2.6619732,2.707471,2.822803,1.748529,2.9390104,0.6140493,0.69084007,1.1395704,0.66346323,0.7894246,0.54899865,0.7749966,0.76354796,0.6462111,,0.42889062,0.7964395,0.8006469,0.8445556,0.7565664,
Latios(Unscaled),Zen Headbutt,Solar Beam,40,24,2.194762678,2.3447227,,2.3447227,,,,,,,,,,,,,,,,,,0.8617847,,,,,,
Shadow Ho-Oh(Unscaled),Hidden Power Flying or Hidden Power Grass,Solar Beam,40,19,2.226797758,2.64440665,3.0280337,2.2607796,,,,,,,,,0.64866847,0.724796,,,,,,0.7953963,0.7041742,0.83679575,,,,,,
Shadow Vileplume(Unscaled),Razor Leaf,Solar Beam,40,16,2.26347087,2.526679712,,,2.576367,1.888293,,2.8111112,2.8164587,,,,0.63024753,0.699028,,,,0.57002187,,0.77796435,0.67169386,,,,,,0.7563513,
Shadow Porygon-Z(Unscaled),Charge Beam or Lock-On or Hidden Power Grass,Solar Beam,40,11,2.27628453,2.629018686,2.9788435,,2.578873,1.8835083,,2.7206087,2.9663913,,,,0.60894656,0.67300177,,0.67004365,0.7672703,0.5607784,0.7754508,0.7323666,0.6265467,,,,,,0.7143162,0.80028
Hariyama(Unscaled),Counter,Dynamic Punch,40,23,2.267396591,2.3658239,,,,,,,,2.9492514,1.7823964,,,,,,,,,,,,0.43008682,,,,,
Shadow Shiftry(Unscaled),Snarl or Razor Leaf,Leaf Blade,40,8,2.278137473,2.498660053,2.8811615,,2.348188,1.8256006,2.8061066,2.6232383,,2.9110284,1.7460582,2.84747,0.6196669,0.71391386,,0.65900666,,0.5513988,,0.7877344,0.68337846,,0.4280649,0.7808942,,0.8346437,0.7470371,
Shadow Alakazam(Unscaled),Confusion or Counter,Focus Blast,40,22,2.26467432,2.727454,,2.727454,,,,,,,,,,,1.1595021,0.7191203,0.8018034,,,,,,,,,,,
Roserade(Unscaled),Poison Jab or Razor Leaf,Grass Knot,40,11,2.28589257,2.487459815,,,2.4830294,1.8483136,2.8332374,2.6959836,2.8087168,2.956834,1.7818527,,0.63019514,0.66984725,,0.6668623,,0.5427282,0.79991305,0.77256006,0.6615225,,,,,,0.73279387,
Shadow Cacturne(Unscaled),Poison Jab or Sucker Punch,Grass Knot,40,17,2.30883653,2.531495675,,,2.4586842,1.8830518,2.958807,2.8254397,,,,,,0.6892539,,,,0.58512425,,,,,,0.7568551,,0.8166951,0.7794847,
Zapdos(Unscaled),Thunder Shock,Thunderbolt,40,7,2.361569188,2.561541568,2.767199,,2.385818,1.917089,2.8536005,2.6992242,2.828869,2.8758807,1.7718391,2.9455557,0.6194597,0.6908417,1.1657549,,,0.55644405,0.8009538,0.7723628,0.6661071,,0.42272076,,,,0.76376015,0.8039901
Luxray(Unscaled),Spark,Wild Charge,40,13,2.404248913,2.625062443,2.876557,,2.5325716,1.9479034,2.8948898,2.7310386,2.7606356,,,,0.62943476,0.7058193,,,0.7989998,0.5773342,,0.78308374,0.6751371,,,,,,0.78507257,
Shadow Magneton(Unscaled),Thunder Shock or Spark,Discharge,40,14,2.478108899,2.666205028,2.8201263,,2.5231633,1.9655495,2.9663813,2.7247236,2.9815204,,,,0.6310796,0.7108241,1.1646117,,0.8021044,,,0.771772,0.67286974,,,,,,,
Shadow Tangela(Unscaled),Vine Whip,Power Whip,40,17,2.505037474,2.664098311,,,2.5697522,1.9769658,2.9381747,2.7608612,3.0551834,,,,,,,,,0.582264,,0.8165899,0.7011901,,,,,,0.78004164,
Tangrowth(Unscaled),Vine Whip,Power Whip,40,15,2.524748622,2.601479633,2.91446,,2.519732,1.9389257,2.8147714,2.8253205,2.9941225,2.9681711,1.8366106,,0.64758456,,,,,0.5833052,,,,,,,,,0.78462064,
Shadow Metagross(Unscaled),Zen Headbutt,Earthquake,40,24,2.544632463,2.7198856,,2.7198856,,,,,,,,,,,,,,,,,,0.9868268,,,,,,
Shadow Arcanine(Unscaled),Snarl or Thunder Fang,Wild Charge,40,15,2.587414138,2.828363089,2.8380358,,2.560261,,3.0231118,2.7994895,2.91651,,,,0.62199426,0.69310933,1.138167,,,,,0.77430993,0.6735369,,,,0.8074367,,,
Mewtwo(Unscaled),Confusion or Psycho Cut,Thunderbolt,40,18,2.589056388,2.712959994,2.9071434,2.0357716,,,2.8796346,2.8299716,2.9027874,,,,0.65016574,,,,,,,,,0.7514931,,,,,0.8036151,
Sceptile(Unscaled),Bullet Seed or Fury Cutter,Frenzy Plant,40,14,2.622454482,2.775464731,3.0856628,,2.54603,1.9290057,3.026955,2.818056,3.0378864,2.9621994,,,0.6387437,,,,,0.55999833,,0.8110492,0.6901185,,,,,,0.75571585,
Shadow Pinsir(Unscaled),Bug Bite,Superpower,40,23,2.819764375,3.29554,,,,,,,,3.29554,,,,,,0.7326211,,,,,,,0.46633515,,,,,
Shadow Banette(Unscaled),Shadow Claw,Thunder,40,22,2.855212475,3.4676516,,,,,,,,,,3.4676516,,,,,,,,,,,,0.948151,0.93807733,0.9633106,,
Shadow Absol(Unscaled),Snarl,Thunder,40,23,2.797500444,3.2104764,,,,,,,,,,3.2104764,,,,,,,,,,,,0.87909836,0.86146027,,,
Venusaur(Unscaled),Vine Whip,Frenzy Plant,40,20,2.753605922,2.868563479,3.0012789,,2.5765638,,2.9299853,,2.9617658,,,,,,,,,0.57106584,,,,,,,,,0.79767394,
Alakazam(Unscaled),Confusion,Focus Blast,40,24,2.795375545,2.9902422,,2.9902422,,,,,,,,,,,,,,,,,,1.0632275,,,,,,
Metagross(Unscaled),Zen Headbutt,Earthquake,40,24,2.958493882,3.1636343,,3.1636343,,,,,,,,,,,,,,,,,,1.1350235,,,,,,
Chandelure(Unscaled),Hex,Energy Ball,40,22,3.293163008,3.9962394,,,,,,,,,,3.9962394,,,,,,,,,,,,1.088639,1.0549893,1.1738144,,
Torterra(Unscaled),Razor Leaf,Frenzy Plant,40,25,3.0084465,3.0084465,3.0084465,,,,,,,,,,,,,,,,,,,,,,,,,
Shadow Staraptor(Unscaled),Wing Attack,Close Combat,40,24,3.052331146,3.2624698,,3.2624698,,,,,,,,,,,,,,,,,,1.184432,,,,,,
Jolteon(Unscaled),Thunder Shock,Thunderbolt,40,25,3.033241,3.033241,,,,,,,3.033241,,,,,,,,,,,,,,,,,,,
Leafeon(Unscaled),Razor Leaf,Leaf Blade,40,24,3.04024065,3.04024065,3.1083546,,,,2.9721267,,,,,,,,,,,,,,,,,,,,,
Golem (Alola)(Unscaled),Volt Switch,Wild Charge,40,25,3.0746017,3.0746017,3.0746017,,,,,,,,,,,,,,,,,,,,,,,,,
Heracross(Unscaled),Counter,Close Combat,40,25,3.074921,3.074921,,,,,,,,3.074921,,,,,,,,,,,,,,,,,,
Shadow Weavile(Unscaled),Feint Attack or Snarl,Avalanche,40,22,3.404453078,4.1237917,,,,,,,,,,4.1237917,,,,,,,,,,,,1.1283171,1.137241,1.233974,,
Darkrai(Unscaled),Feint Attack or Snarl,Focus Blast,40,22,3.535749197,4.288765,,,,,,,,,,4.288765,,,,,,,,,,,,1.1709971,1.1647751,1.2433279,,
Shadow Lugia(Unscaled),Extrasensory,Hydro Pump,40,24,3.435737974,3.6640604,,3.6640604,,,,,,,,,,,,,,,,,,1.4062053,,,,,,
Shadow Scizor(Unscaled),Fury Cutter,Iron Head,40,24,4.668231797,5.0852065,,,,,,,,,,5.0852065,,,,,,,,,,,0.7764679,,,,,
Yveltal(Unscaled),Snarl,Focus Blast,40,25,4.681754,4.681754,,,,,,,,,,4.681754,,,,,,,,,,,,,,,,