Attacker,Fast Move,Charged Move,Level,[Average],[Average T5/Mega only],"Arceus (Water), Tier 5","Keldeo, Tier 5","Manaphy, Tier 5","Phione, Tier 5","Kyogre, Tier 5","Suicune, Tier 5","Mega Blastoise, Mega Tier","Mega Gyarados, Mega Tier","Mega Sharpedo, Mega Tier","Mega Slowbro, Mega Tier","Alomomola, Tier 3","Azumarill, Tier 3","Cloyster, Tier 3","Crawdaunt, Tier 3","Dewgong, Tier 3","Floatzel, Tier 3","Lapras, Tier 3","Lumineon, Tier 3","Octillery, Tier 3","Poliwrath, Tier 3","Sharpedo, Tier 3","Slowbro, Tier 3","Slowking, Tier 3","Starmie, Tier 3","Vaporeon, Tier 3","Walrein, Tier 3"
(Boss weights),,,,,,8.333333333,8.333333333,8.333333333,8.333333333,8.333333333,8.333333333,8.75,8.75,8.75,8.75,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375
Zarude,Vine Whip,Power Whip,40,1.009992569,1.006828779,1,1.008762755,1,1.036037054,1,1,1,1.023670229,1,1,1.05368286,1.028210865,1,1.021797662,1.023856727,1.046624324,1.049014369,1.029864727,1.015370036,1.048671665,1.009577651,1.003300764,1,1.011907255,1.058847847,1.046004585
Shadow Tangrowth,Vine Whip,Power Whip,40,1.01633206,1.017917811,1.032465026,1,1.016304895,1,1.058888841,1.010576394,1.014723948,1,1.00535109,1.041378788,1.046749411,1,1.005941878,1,1,1,1,1.023760421,1.00784356,1.025731544,1,1,1.007511354,1,1,1
Shadow Venusaur,Vine Whip,Frenzy Plant,40,1.045500193,1.049924939,1.146235371,1.005642554,1.032702456,1.027046113,1.086040882,1.020576269,1.037773118,1.053417947,1.015643646,1.075061223,1.034140472,1.009656929,1.016041259,1.00503013,1.030884252,1.013874545,1.034336356,1,1,1,1.024458728,1.023343399,1.045976349,1.001795953,1.012748697,1.074539036
Shadow Torterra,Razor Leaf,Frenzy Plant,40,1.070476857,1.074561715,1.065675478,1.023758276,1.042138988,1.032721389,1.130671343,1.048556206,1.24809178,1.042614932,1.028683257,1.077760329,1.050793688,1.027089268,1.07712882,1.025876066,1.103751704,1.042700825,1.080240596,1.031132969,1.004498359,1.047619209,1.025040681,1.017746959,1.073000065,1.009407425,1.063987202,1.077255463
Shadow Raikou,Thunder Shock or Volt Switch,Wild Charge,40,1.097863598,1.101335904,1.119015547,1.093123524,1.103874072,1.103082478,1.08821238,1.10854144,1.092226856,1.0948286,1.079468817,1.131358377,1.090751,1.05990303,1.062959558,1.082848841,1.058565359,1.117204119,1.075563001,1.073215149,1.054470241,1.096004369,1.089127329,1.054528442,1.050444829,1.057618321,1.104633812,1.123157744
Shadow Exeggutor,Confusion or Bullet Seed,Seed Bomb or Solar Beam,40,1.111542947,1.120254134,1.202245404,1.113457211,1.063914066,1.043239583,1.170548098,1.092004851,1.154568757,1.119769215,1.154426519,1.086647846,1,1.008780704,1.135482075,1.100635204,1.077934498,1.070190599,1.070582418,1.079324313,1.049637248,1.039328031,1.089673177,1.016960602,1.055290902,1.048737179,1.054062402,1.098253563
Shadow Victreebel,Razor Leaf,Leaf Blade,40,1.125827162,1.129657901,1.310256391,1.064734914,1.09819868,1.090807594,1.118333831,1.092800866,1.185698285,1.121566254,1.084390241,,1.112585573,1.077847666,1.12902722,1.091235998,1.119218757,1.104623353,1.145536521,1.063959215,1.066137555,1.110473573,1.094576371,1.080697423,1.130911114,1.090642688,1.103885453,1.18030933
Shadow Shiftry,Razor Leaf or Snarl,Leaf Blade,40,1.131920906,1.131154091,1.215032363,,1.109299983,1.104063374,1.161968993,1.110604845,,1.133795805,1.110542035,1.106077669,1.126201729,1.121217597,1.132207699,1.099276883,1.174508295,1.135547215,1.157223127,1.124426014,1.148299983,1.149837478,1.11835562,1.069251145,1.164730284,1.109237088,1.142837206,1.193128573
Shadow Magnezone,Charge Beam or Spark,Wild Charge,40,1.139405509,1.141911112,1.122512001,,1.161833335,1.150419024,1.18750419,1.145057337,1.114793681,1.150272518,1.141103298,1.106455593,1.138904036,1.093302489,1.085856291,1.13866119,1.102345042,1.157420578,1.111103639,1.105047527,1.08271494,1.187112243,1.129140104,1.077784673,1.12266544,1.104194154,1.182705581,1.206627541
Shadow Electivire,Thunder Shock,Wild Charge,40,1.147279966,1.15474116,1.149219352,1.126901708,1.122232305,1.101216864,1.21266369,1.100567275,1.162307516,1.213211481,1.220563385,1.133021088,1.12395088,1.075945254,1.074686058,1.120184383,1.063302791,1.140314291,1.110390417,1.084257741,1.092449129,1.126615264,1.131572359,1.081802778,1.065323921,1.097977634,1.126873596,1.16435137
Shadow Zapdos,Thunder Shock,Thunderbolt,40,1.155430944,1.159814565,1.190232822,1.087046566,1.153148241,1.149440012,1.235787019,1.163233317,1.149614233,1.163090879,1.15279151,1.154713463,1.143072782,1.092733138,1.1289058,1.131861462,1.132872026,1.151341273,1.154140173,1.106335767,1.110712377,1.134148522,1.119018556,1.111518222,1.110860057,1.141773827,1.163126545,1.157026289
Roserade,Razor Leaf,Grass Knot,40,1.167051688,1.173573277,1.342217357,1.100867951,1.178415325,1.119769799,1.185818014,1.141851925,1.180766062,1.152860593,1.141172758,1.193302547,1.154504671,1.087135251,1.145101779,1.117540368,1.138491792,1.121913857,1.111384145,1.112934252,1.12065533,1.108134998,1.124915195,1.154229784,1.160103921,1.12450673,1.119397564,1.180586565
Zekrom,Charge Beam,Wild Charge,40,1.181446328,1.183151557,1.251696064,1.150222349,1.187491865,1.162312168,1.136922805,1.17650762,1.217746632,1.185769069,1.149802824,1.211436727,1.197058351,1.169809308,1.190692046,1.161566117,1.16572436,1.184035632,1.17960221,1.155392855,1.166821187,1.175876582,1.173442482,1.158772552,1.142663413,1.143552234,1.197620101,1.185904322
Tangrowth,Vine Whip,Power Whip,40,1.191100385,1.191510316,1.222970293,1.176460207,1.210513616,1.170192358,1.137157347,1.211475104,1.237864169,1.184567469,1.167561248,1.195375015,1.205694678,1.188467745,1.1691537,1.174188219,1.184983387,1.17948726,1.189852098,1.188332754,1.205495689,,1.190004629,1.197045406,1.190846348,1.188727093,1.187521542,1.189538155
Shadow Vileplume,Razor Leaf,Solar Beam,40,1.189893302,1.193840044,,1.154160245,1.188389049,1.148686089,1.304318451,1.188443089,1.149825012,1.21593083,1.201672191,,1.176040584,1.120529633,1.185196772,1.192181921,1.178934545,1.180823889,1.206749968,1.135612917,1.126343228,1.150697217,1.183359322,1.176937233,,1.142530499,1.145742513,1.260799765
Tornadus,Air Slash,Grass Knot,40,1.195010216,1.195010216,,1.195010216,,,,,,,,,,,,,,,,,,,,,,,,
Mewtwo,Confusion,Thunderbolt,40,1.197908279,1.196057392,,1.196057392,,,,,,,,,,,,,,,,,,1.214360613,,,,,,
Shadow Porygon-Z,Lock-On or Hidden Power Grass,Solar Beam,40,1.183745029,1.204619379,1.242388534,,1.227931013,1.155820903,,1.145014683,1.226394919,,,1.227912776,1.114265494,1.044661946,1.136341756,1.145013627,1.050920089,1.14610481,1.083548652,1.044403922,1.114261604,1.179131712,1.189451517,1.086551888,1.086039427,1.132347845,1.127636382,1.127386097
Shadow Tangela,Vine Whip,Power Whip,40,1.211139974,1.213673632,1.264569385,1.187084014,1.193245976,1.190129223,1.25287012,1.194218094,1.22088435,1.194798978,1.192292638,1.246647119,1.185167787,1.166186589,1.226118032,1.192373595,,1.195462461,,1.166571243,1.187373423,,1.199630336,1.182281409,,1.196173571,1.195482949,
Sceptile,Fury Cutter or Bullet Seed,Frenzy Plant,40,1.209291511,1.217010409,1.270479045,,1.191562908,1.17503984,1.277143349,1.211531065,1.244333365,1.188830006,1.209792124,1.186320269,1.167544595,1.146542784,1.219121205,1.147930606,1.18894124,1.172969931,1.169226383,1.169554631,1.144567558,1.20488415,1.185393827,1.126554099,1.159855974,1.139672058,1.144999925,1.229670878
Venusaur,Vine Whip,Frenzy Plant,40,1.217547692,1.219698866,1.25673103,1.155749105,1.240996263,1.208196925,1.234021899,1.217744303,1.227046475,1.219009635,1.217567792,,1.246114561,1.16999899,,1.198832672,1.206136721,1.202710018,1.218684977,1.177505693,1.192940868,,1.187572689,1.210695908,,1.203042013,1.214095236,1.224827507
Shadow Mewtwo,Confusion or Psycho Cut,Thunderbolt,40,1.220455388,1.222886316,1.263136486,1.017916909,1.227395063,1.225861231,1.219389068,1.237834422,1.258991047,,,1.32562417,1.211407475,1.185333267,1.177197096,,1.179476992,1.220147719,1.225721914,1.201427143,1.186052697,1.020678174,,1.274180449,1.260407558,1.309630563,1.244484959,1.215202656
Shadow Cacturne,Poison Jab or Sucker Punch,Grass Knot,40,1.213885513,1.22323392,,,1.196951605,1.182983183,1.277946043,1.235054846,,,,,,1.15439701,,,,1.244007184,,,,,,1.039983555,1.159002931,1.115517089,1.238017513,
Breloom,Counter or Bullet Seed,Grass Knot,40,1.224697138,1.228177839,,,1.23291669,1.199138776,1.289240193,1.222773639,1.277046228,1.194139923,1.183482659,,1.251422036,1.202961198,1.215757802,1.15451099,1.202182308,1.225637916,,1.178001416,1.221657905,,1.187289764,,,1.208683842,1.195026044,1.232016547
Torterra,Razor Leaf,Frenzy Plant,40,1.232875429,1.234899575,1.224250068,1.207054914,1.24324058,1.230254404,1.315368395,1.233859002,1.22819671,1.233901737,1.197386308,1.237608862,1.234770405,1.207302832,,1.216327983,,1.234441373,,1.204610492,1.217594064,,1.214574471,1.191729284,1.184917892,1.218859886,1.25297849,
Shadow Ho-Oh,Extrasensory or Hidden Power Grass,Solar Beam,40,1.223310888,1.235485345,1.22950883,1.185502088,,1.281354841,,1.217541859,1.255624308,,,1.242045201,1.184259132,1.141775624,1.132942562,,1.136580757,1.268096963,1.158614029,1.172362965,1.185013475,1.21164181,1.180271301,1.157377732,1.101514078,1.179016698,1.264038265,1.216031826
Thundurus (Therian),Volt Switch,Thunderbolt,40,1.232687147,1.238679361,1.250495771,1.162480665,1.226120212,1.216430684,1.322087696,1.229915156,1.216012818,1.255424641,1.23847371,1.268183396,1.20417354,1.147396961,1.215037324,1.210146312,1.185219632,1.226396359,1.216635303,1.170645381,1.164560984,1.20458126,1.187179563,1.172210053,1.170813758,1.22005391,1.222963512,1.261686483
Latios,Zen Headbutt,Solar Beam,40,1.240980621,1.240980621,,1.240980621,,,,,,,,,,,,,,,,,,,,,,,,
Exeggutor (Alola),Bullet Seed,Solar Beam,40,1.243676692,1.245377451,,,1.241725339,1.189878567,,1.295161922,,,1.254297953,,1.284076543,,,1.213461484,,1.264709194,,1.21483549,1.240070749,,1.226061047,,,,1.201294987,
Leafeon,Razor Leaf,Leaf Blade,40,1.249496565,1.251987857,1.269453998,,1.258974344,1.234979491,1.259356472,1.243760059,1.238775506,1.259456224,1.251460334,,1.25746697,1.221524661,,1.221564512,,1.2187385,,1.238596305,1.215232477,,,,1.216139038,,1.236403738,1.239322655
Shadow Gallade,Confusion or Low Kick,Leaf Blade,40,1.254813069,1.262811409,1.33738263,1.104129624,1.291184445,,1.321529456,1.294677998,1.314088907,1.229385443,1.211772156,,,,1.159812855,1.180818562,1.159468843,,1.210298126,1.244410686,,1.132361739,1.173255511,,,,,1.198642952
Exeggutor,Extrasensory or Bullet Seed,Solar Beam,40,1.259239128,1.265751756,1.344037419,,1.250607737,1.216868915,,1.258434371,,,,1.259140879,1.248291829,1.220808948,,,,1.250743241,1.221851962,1.252025662,1.210155899,1.2063763,,,,1.220590879,1.209962842,
Chesnaught,Vine Whip,Solar Beam,40,1.282174654,1.283258882,,,,1.264805195,1.30212967,,1.320678555,1.281020974,1.247679878,,,,,,,1.270153859,,1.244561914,,,,,,,,
Raikou,Thunder Shock,Wild Charge,40,1.295211569,1.295285834,1.304898302,,1.282239535,,1.282715788,1.290666451,1.314927034,,,,1.291877906,,,,,,,,,,,,,,,
Simisage,Vine Whip,Grass Knot,40,1.292622918,1.295901755,,,1.283373721,1.255114143,1.338095208,,1.306494318,,,,1.275069142,1.243684969,,,,,,,1.24107651,,,,,,,
Victreebel,Razor Leaf,Leaf Blade,40,1.300864758,1.302204332,,,,,1.322482419,,1.307828338,,1.277267863,,,,,,,,,,,,,,,,1.263952052,
Electivire,Thunder Shock,Wild Charge,40,1.312125198,1.315275487,1.33830147,,,,,,1.293345979,,,,,1.254719929,,,,,,,,,,,,,,
Magnezone,Spark,Wild Charge,40,1.323874878,1.323874878,1.313115755,,,,1.334634001,,,,,,,,,,,,,,,,,,,,,
Shiftry,Razor Leaf,Leaf Blade,40,1.352501037,1.352501037,1.352501037,,,,,,,,,,,,,,,,,,,,,,,,,
Leavanny,Razor Leaf,Leaf Blade,40,1.35075746,1.356977156,1.356977156,,,,,,,,,,,,,,,1.295471272,,,,,,,,,,
Shadow Absol,Snarl,Thunder,40,1.470508855,1.470508855,,,,,,,,,,1.470508855,,,,,,,,,,,,,,,,
Chandelure,Hex,Energy Ball,40,1.572680484,1.595474949,,,,,,,,,,1.595474949,,,,,,,,,,,,1.497936737,1.434675884,,,
Zarude(Unscaled),Vine Whip,Power Whip,40,1.673289598,1.865857138,2.0205898,1.7170167,1.7708731,1.430538,2.0077386,1.9763447,2.0447981,2.1771746,1.3173016,2.1832418,0.47872064,0.5428284,0.8828858,0.51070285,0.624943,0.42548427,0.6280502,0.59996057,0.50796723,0.6489584,0.32100955,0.63730407,0.64275765,0.65052253,0.5798229,0.6312586
Shadow Tangrowth(Unscaled),Vine Whip,Power Whip,40,1.692468132,1.890361607,2.0861883,1.7021016,1.799747,1.3807788,2.125972,1.9972473,2.0749056,2.126832,1.3243506,2.2735817,0.47557056,0.5279349,0.8881318,0.4998082,0.6103813,0.40653008,0.59870505,0.59640443,0.5042019,0.63476217,0.3179642,0.6352074,0.64758563,0.64286774,0.54759794,0.60349506
Shadow Venusaur(Unscaled),Vine Whip,Frenzy Plant,40,1.746982295,1.953143623,2.3160715,1.7117058,1.828785,1.4181235,2.1804862,2.0170105,2.1220365,2.240443,1.337909,2.3471186,0.46984193,0.53303313,0.8970484,0.5023223,0.62923247,0.4121705,0.6192624,0.5825625,0.50027794,0.6188385,0.3257412,0.6500353,0.6723093,0.6440223,0.5545791,0.648479
Shadow Torterra(Unscaled),Razor Leaf,Frenzy Plant,40,1.790214261,2.001101304,2.153293,1.7425406,1.8454959,1.4259598,2.2700925,2.0723085,2.5520957,2.2174668,1.3550861,2.3530114,0.477408,0.54223627,0.95098174,0.51274127,0.6737094,0.42388925,0.6467455,0.6006994,0.50252837,0.6483071,0.32592624,0.6464804,0.689679,0.64891547,0.5826372,0.65011835
Exeggutor (Alola)(Unscaled),Bullet Seed,Solar Beam,40,1.776840218,2.009009046,,,2.198938,1.6429591,,2.5596864,,,1.6522887,,0.5833956,,,0.606498,,0.51414233,,0.7077176,0.62038004,,0.38984352,,,,0.65782666,
Tornadus(Unscaled),Air Slash,Grass Knot,40,2.0340288,2.0340288,,2.0340288,,,,,,,,,,,,,,,,,,,,,,,,
Mewtwo(Unscaled),Confusion,Thunderbolt,40,1.905936336,2.0358112,,2.0358112,,,,,,,,,,,,,,,,,,0.7514931,,,,,,
Shadow Raikou(Unscaled),Thunder Shock or Volt Switch,Wild Charge,40,1.829198318,2.044306769,2.2610714,1.8606073,1.9548209,1.5231129,2.184846,2.19086,2.2333834,2.3285165,1.421986,2.4700289,0.49556184,0.5595598,0.9384719,0.54121673,0.6461285,0.45417708,0.643945,0.6252149,0.5275282,0.6782497,0.3463035,0.66984427,0.67518145,0.6799087,0.6048952,0.67782015
Shadow Victreebel(Unscaled),Razor Leaf,Leaf Blade,40,1.826228454,2.061865495,2.6474907,1.812287,1.9447705,1.506164,2.245322,2.1597512,2.4245136,2.385383,1.428469,,0.50548196,0.5690334,0.9968021,0.5454087,0.6831502,0.44906262,0.6858385,0.61982274,0.5333651,0.6872038,0.3480361,0.686467,0.72690177,0.701139,0.6044854,0.71231085
Shadow Exeggutor(Unscaled),Confusion or Bullet Seed,Seed Bomb or Solar Beam,40,1.859243321,2.080850656,2.4292448,1.8952173,1.8840568,1.4404831,2.3501546,2.158178,2.36086,2.381561,1.5207279,2.372415,0.45433086,0.53257054,1.002501,0.5501065,0.65795106,0.43506467,0.6409631,0.62877387,0.52511036,0.6431762,0.34647706,0.6459809,0.6782963,0.6741993,0.5772024,0.6627906
Shadow Shiftry(Unscaled),Razor Leaf or Snarl,Leaf Blade,40,1.832667515,2.09514738,2.455082,,1.9644295,1.5244673,2.33293,2.194938,,2.4113932,1.4629188,2.414835,0.5116682,0.5919299,0.9996101,0.5494276,0.7168979,0.4616341,0.69283533,0.65504843,0.57446915,0.7115637,0.35559705,0.67919624,0.7486393,0.71309274,0.6258153,0.7200472
Latios(Unscaled),Zen Headbutt,Solar Beam,40,2.1122751,2.1122751,,2.1122751,,,,,,,,,,,,,,,,,,,,,,,,
Shadow Magnezone(Unscaled),Charge Beam or Spark,Wild Charge,40,1.88964223,2.134601922,2.2681363,,2.0574594,1.5884742,2.384198,2.263028,2.279528,2.4464364,1.5031772,2.4156601,0.51743925,0.57719254,0.9586871,0.5691122,0.6728508,0.47052628,0.66522336,0.64375925,0.5416584,0.73463076,0.35902613,0.6846168,0.7216018,0.7098508,0.64764714,0.72819376
Shadow Electivire(Unscaled),Thunder Shock,Wild Charge,40,1.914417557,2.141989884,2.3221009,1.9181012,1.987331,1.5205369,2.4347117,2.1751003,2.3766842,2.580297,1.6078501,2.473659,0.51064557,0.56802905,0.94882506,0.55987734,0.64902014,0.46357206,0.66479635,0.6316479,0.5465282,0.6971929,0.3597995,0.68716913,0.6847451,0.7058544,0.61707366,0.7026803
Shadow Vileplume(Unscaled),Razor Leaf,Solar Beam,40,1.888652272,2.143409186,,1.964498,2.1044862,1.5860814,2.6187305,2.3487732,2.35116,2.5860806,1.5829647,,0.53431153,0.5915667,1.0463934,0.5958623,0.7195996,0.48004043,0.7224873,0.6615655,0.56348467,0.71209574,0.3762659,0.74759924,,0.734496,0.62740624,0.76088643
Shadow Zapdos(Unscaled),Thunder Shock,Thunderbolt,40,1.927131254,2.154092807,2.4049723,1.8502637,2.0420792,1.5871224,2.4811373,2.29895,2.350729,2.4736989,1.5185741,2.5210187,0.51933324,0.57689196,0.9966949,0.56571364,0.6914839,0.46805486,0.69098955,0.64450973,0.5556649,0.70185477,0.35580784,0.7060446,0.7140138,0.73400956,0.6369257,0.69825965
Shadow Lugia,Extrasensory,Hydro Pump,40,2.166108308,2.154158365,,2.154158365,,,,,,,,,,,,,,,,,,2.272330018,,,,,,
Roserade(Unscaled),Razor Leaf,Grass Knot,40,1.952891711,2.184313214,2.7120707,1.8737891,2.086824,1.5461544,2.3808126,2.256693,2.4144282,2.4519408,1.5032687,2.605268,0.5245271,0.57393664,1.0109941,0.55855584,0.6949141,0.45609173,0.6653913,0.64835376,0.56063914,0.6857566,0.35768276,0.7331753,0.74566567,0.7229091,0.6129798,0.71247816
Shadow Cacturne(Unscaled),Poison Jab or Sucker Punch,Grass Knot,40,1.967976665,2.1899408,,,2.1196494,1.6334381,2.5657816,2.4408941,,,,,,0.60944647,,,,0.50572634,,,,,,0.66060525,0.744958,0.71712995,0.67793584,
Zekrom(Unscaled),Charge Beam,Wild Charge,40,1.969015292,2.199277363,2.5291643,1.9577953,2.1028974,1.604896,2.2826438,2.3251846,2.490046,2.5219316,1.5146371,2.6448593,0.54386055,0.61758316,1.0512451,0.58056027,0.71153635,0.4813461,0.7062338,0.67308855,0.5837349,0.7276777,0.3731127,0.7360609,0.73445565,0.73515284,0.6558143,0.7156874
Tangrowth(Unscaled),Vine Whip,Power Whip,40,1.993554633,2.212620232,2.4711213,2.0024548,2.143666,1.6157768,2.2831147,2.3942924,2.5311823,2.519376,1.5380303,2.6097927,0.5477843,0.6274336,1.0322292,0.5868689,0.7232917,0.47949705,0.71237046,0.6922781,0.6030829,,0.37837887,0.7603721,0.7654256,0.7641943,0.65028435,0.7178804
Venusaur(Unscaled),Vine Whip,Frenzy Plant,40,2.001070501,2.218315907,2.5393379,1.9672024,2.1976469,1.6682527,2.4775934,2.4066825,2.5090623,2.5926287,1.603904,,0.5661483,0.6176833,,0.5991864,0.7362033,0.4889378,0.72963285,0.68597066,0.596802,,0.3776056,0.769043,,0.7733969,0.66483605,0.73917735
Breloom(Unscaled),Counter or Bullet Seed,Grass Knot,40,1.974412226,2.222336534,,,2.183339,1.6557454,2.5884573,2.4166222,2.6113017,2.539735,1.5590036,,0.56855965,0.6350852,1.0733753,0.57703406,0.7337896,0.49825868,,0.68625945,0.6111685,,0.37751564,,,0.77702385,0.6543938,0.7435159
Shadow Tangela(Unscaled),Vine Whip,Power Whip,40,2.081604042,2.255310303,2.555176,2.0205376,2.1130872,1.6433052,2.5154357,2.3601866,2.496462,2.5411367,1.570609,2.7217321,0.5384583,0.6156706,1.0825222,0.5959581,,0.48599145,,0.67960066,0.59401673,,0.3814395,0.7509939,,0.7689814,0.654644,
Sceptile(Unscaled),Fury Cutter or Bullet Seed,Frenzy Plant,40,2.015750364,2.280177279,2.567117,,2.1101067,1.6224701,2.56417,2.394403,2.5444105,2.5284417,1.5936611,2.590024,0.53045154,0.60529995,1.0763448,0.57374513,0.7257075,0.47684756,0.70002174,0.68133867,0.5726019,0.7456287,0.3769128,0.7155955,0.7455063,0.7326584,0.6269996,0.7421003
Chesnaught(Unscaled),Vine Whip,Solar Beam,40,2.218129707,2.287920525,,,,1.7464162,2.614336,,2.700521,2.7245164,1.6435707,,,,,,,0.51635575,,0.7250351,,,,,,,,
Leafeon(Unscaled),Razor Leaf,Leaf Blade,40,2.111721398,2.293200125,2.5650458,,2.2294838,1.7052335,2.5284586,2.4580986,2.5330458,2.6786518,1.6485507,,0.57130605,0.6448855,,0.61054796,,0.49545386,,0.72155976,0.607954,,,,0.78168267,,0.67705214,0.7479251
Torterra(Unscaled),Razor Leaf,Frenzy Plant,40,2.114148437,2.293509845,2.4737072,2.0545301,2.2016213,1.6987092,2.6409159,2.4385307,2.5114143,2.6243017,1.5773189,2.7019994,0.5609943,0.6373773,,0.6079307,,0.50183755,,0.7017609,0.60913545,,0.3861912,0.75699526,0.76161504,0.7835657,0.68612844,
Shadow Porygon-Z(Unscaled),Lock-On or Hidden Power Grass,Solar Beam,40,1.914610497,2.293726693,2.5103576,,2.17451,1.595933,,2.2629437,2.50773,,,2.6808305,0.5062452,0.5515135,1.00326,0.5722872,0.64146197,0.46592608,0.64872605,0.60843056,0.5574405,0.7296921,0.378203,0.6901858,0.69806015,0.7279499,0.61749136,0.68037194
Thundurus (Therian)(Unscaled),Volt Switch,Thunderbolt,40,2.058348519,2.301576276,2.526739,1.9786602,2.1713033,1.6796217,2.6544065,2.4307363,2.4865007,2.6700773,1.6314434,2.768751,0.5470932,0.6057509,1.0727392,0.60484105,0.7234359,0.49856701,0.7284057,0.6819741,0.58260417,0.74544126,0.3774806,0.7445965,0.7525495,0.7843333,0.6696923,0.76142156
Shadow Mewtwo(Unscaled),Confusion or Psycho Cut,Thunderbolt,40,2.057765299,2.319463263,2.5522807,1.732598,2.1735609,1.6926432,2.4482145,2.4463875,2.5743825,,,2.8941581,0.5503798,0.6257788,1.0393306,,0.7199307,0.49602675,0.7338459,0.6999064,0.593356,0.63163495,,0.80936885,0.8101366,0.84191924,0.6814774,0.7333688
Shadow Ho-Oh(Unscaled),Extrasensory or Hidden Power Grass,Solar Beam,40,1.97161905,2.331290223,2.484333,2.017845,,1.7692676,,2.4062824,2.5674982,,,2.711685,0.53804547,0.6027832,1.0002589,,0.69374764,0.51551956,0.69366807,0.6829747,0.5928361,0.7498106,0.37528402,0.7351749,0.7080066,0.7579518,0.69218475,0.7338692
Victreebel(Unscaled),Razor Leaf,Leaf Blade,40,2.274769173,2.332203385,,,,,2.655199,,2.6742449,,1.682547,,,,,,,,,,,,,,,,0.69213754,
Simisage(Unscaled),Vine Whip,Grass Knot,40,2.212251193,2.345028483,,,2.272692,1.733035,2.6865454,,2.6715171,,,,0.57930326,0.6565847,,,,,,,0.6208832,,,,,,,
Shadow Gallade(Unscaled),Confusion or Low Kick,Leaf Blade,40,2.204371765,2.370931879,2.7023017,1.8793408,2.2865238,,2.6532857,2.55873,2.6870465,2.6146963,1.5962694,,,,1.0239823,0.5901828,0.7077181,,0.7246116,0.724947,,0.70074904,0.37305325,,,,,0.7233751
Exeggutor(Unscaled),Extrasensory or Bullet Seed,Solar Beam,40,2.087749156,2.373109356,2.7157483,,2.2146676,1.6802268,,2.4871001,,,,2.749009,0.5671375,0.64450765,,,,0.50846475,0.73152894,0.7293832,0.6054143,0.7465521,,,,0.7846785,0.66257316,
Raikou(Unscaled),Thunder Shock,Wild Charge,40,2.503193523,2.54588234,2.6366642,,2.2706835,,2.575358,2.5508018,2.6887603,,,,0.58694,,,,,,,,,,,,,,,
Magnezone(Unscaled),Spark,Wild Charge,40,2.66643225,2.66643225,2.6532683,,,,2.6795962,,,,,,,,,,,,,,,,,,,,,
Electivire(Unscaled),Thunder Shock,Wild Charge,40,2.569036969,2.673668912,2.7041583,,,,,,2.6446314,,,,,0.66241044,,,,,,,,,,,,,,
Shiftry(Unscaled),Razor Leaf,Leaf Blade,40,2.7328498,2.7328498,2.7328498,,,,,,,,,,,,,,,,,,,,,,,,,
Leavanny(Unscaled),Razor Leaf,Leaf Blade,40,2.517880543,2.7418942,2.7418942,,,,,,,,,,,,,,,0.52664804,,,,,,,,,,
Shadow Absol(Unscaled),Snarl,Thunder,40,3.2104764,3.2104764,,,,,,,,,,3.2104764,,,,,,,,,,,,,,,,
Chandelure(Unscaled),Hex,Energy Ball,40,3.033928265,3.4833076,,,,,,,,,,3.4833076,,,,,,,,,,,,0.9515005,0.9221489,,,
Shadow Lugia(Unscaled),Extrasensory,Hydro Pump,40,3.438017525,3.6665964,,3.6665964,,,,,,,,,,,,,,,,,,1.4062053,,,,,,
Shadow Manectric,Thunder Fang,Wild Charge,40,1.238995016,#DIV/0!,,,,,,,,,,,1.266990867,1.226840658,,,,,,1.237347581,1.224800958,,,,,,,
Shadow Manectric(Unscaled),Thunder Fang,Wild Charge,40,0.639224563,#DIV/0!,,,,,,,,,,,0.57563305,0.647692,,,,,,0.7208323,0.6127409,,,,,,,
Shadow Bellossom,Razor Leaf,Leaf Blade,40,1.275825654,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,1.275825654,
Shadow Bellossom(Unscaled),Razor Leaf,Leaf Blade,40,0.6986395,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,0.6986395,
Porygon-Z,Lock-On,Solar Beam,40,1.213677741,#DIV/0!,,,,,,,,,,,,,,,,,,,1.213677741,,,,,,,
Porygon-Z(Unscaled),Lock-On,Solar Beam,40,0.6071762,#DIV/0!,,,,,,,,,,,,,,,,,,,0.6071762,,,,,,,