Attacker,Fast Move,Charged Move,Level,"Arceus (Dark), Tier 5","Arceus (Dark), Tier 5","Darkrai, Tier 5","Darkrai, Tier 5","Mega Absol, Mega Tier","Mega Absol, Mega Tier","Mega Gyarados, Mega Tier","Mega Gyarados, Mega Tier","Mega Sharpedo, Mega Tier","Mega Sharpedo, Mega Tier","Absol, Tier 3","Absol, Tier 3","Crawdaunt, Tier 3","Crawdaunt, Tier 3","Sharpedo, Tier 3","Sharpedo, Tier 3","Umbreon, Tier 3","Umbreon, Tier 3"
Shadow Hariyama,Bullet Punch,Dynamic Punch,40,1.2953085407127887,1.2435435272454918,1.2046969544203214,1.2731994325792537,1.221142534055032,1.27735335509182,1.2853721071087292,1.3491647295163705,1.2624714542078994,1.3454826414546717,1.2470701306349044,1.287732616659789,1.2903068638847297,1.3656471915750825,1.31059930301011,1.4010061307662083,1.2909683963432261,1.3218990466661442
Shadow Hariyama,Bullet Punch,Superpower,40,1.4753431855943315,1.386958746237172,1.3889931323537483,1.3923635908101661,1.395143625126431,1.4134725235485552,1.4740174854392145,1.4847285303606104,1.4560296635127081,1.4771964110271343,1.3869538532882784,1.422024934770422,1.4555718716795087,1.5176181537181408,1.4971738473475156,1.511103629612381,1.4311380621433123,1.4448228907777958
Shadow Hariyama,Splash,Dynamic Punch,40,1.5746846465236801,1.527511874779714,1.4578299973581066,1.513028857236591,1.4308376907687685,1.52959067004478,1.4683067666516982,1.5457311780870497,1.420187170840753,1.5171404313239467,1.4705509207780887,1.5598471924691106,1.4602433234029149,1.5618695930653983,1.4426688022118446,1.509240298708019,1.553360831013089,1.6034678588063145
Shadow Hariyama,Bullet Punch,Close Combat,40,1.7997670691727083,1.6371605525284902,1.6422789711676276,1.6623073878160617,1.6938682515360917,1.6957947836777183,1.8775054090058176,1.8881755462100973,1.8759705569314173,1.8909852994897443,1.637223265956629,1.6792770035220508,1.847248953414172,1.9106443071617798,1.825129466991831,1.869455783984026,1.6655387941383897,1.6689659651481166
Shadow Hariyama,Splash,Superpower,40,1.8777959488899576,1.7621107730853696,1.6840767348751609,1.7058020465549932,1.6728290310530691,1.7349292194081183,1.7226123519448675,1.7371137420357956,1.663786196753271,1.7147665316103506,1.6564050257489904,1.7544680270599409,1.659948274684629,1.755347780896105,1.667379799461206,1.7206781505659672,1.7399076437649066,1.7773613205696772
Mega Lopunny,Low Kick,Focus Blast,40,1.1986889009218704,1.1227478947223728,1.386677965971904,1.1971485207887416,1.2542665001799496,1.242161630915938,1.1757373701692808,1.1460128537569254,1.2075782490536402,1.1877856824736492,1.1862317576750576,1.2074305504536689,1.2332486237056737,1.2229726541892258,1.2356995001233173,1.2337829364397,1.1562849978672898,1.1597695238016932
Mega Lopunny,Pound,Focus Blast,40,1.3580508085630292,1.2655644841347469,1.5899970518002524,1.330474426790556,1.4023871774692696,1.3886758460691633,1.3334137012595881,1.3021107653632142,1.3551320425870494,1.3433195163326956,1.2833696483667016,1.3008187289518176,1.392148054536282,1.3749986596592458,1.4054213389322443,1.4046878790551078,1.3140117878137039,1.309577525077349
Genesect,Fury Cutter,X-Scissor,40,1.2257791098269695,1.219817191598749,1.3797938302219828,1.3911004994966016,1.393598395636685,1.38120177718328,1.282076300098391,1.285238645454474,1.324680924349776,1.317917942028647,1.36352828192338,1.355696131996338,1.3526032284997382,1.3670071013040264,1.3833316631279464,1.3697589148667204,1.356530871567537,1.3712403970590816
Genesect,Metal Claw,X-Scissor,40,1.4064609251379185,1.4103887799091444,1.5199445585294227,1.5371945017894906,1.5633657838856612,1.5532006034404693,1.6286535262052482,1.6621028772844462,1.6859626002762438,1.6933049542704544,1.5478625722442867,1.5388726185342376,1.7301939185304254,1.75775342448127,1.7567253000017704,1.7572213694848209,1.5588974029899372,1.5703821106086353
Genesect (Burn),Fury Cutter,X-Scissor,40,1.2257791098269695,1.219817191598749,1.3797938302219828,1.3911004994966016,1.393598395636685,1.38120177718328,1.282076300098391,1.285238645454474,1.324680924349776,1.317917942028647,1.36352828192338,1.355696131996338,1.3526032284997382,1.3670071013040264,1.3833316631279464,1.3697589148667204,1.356530871567537,1.3712403970590816
Genesect (Burn),Metal Claw,X-Scissor,40,1.4064609251379185,1.4103887799091444,1.5199445585294227,1.5371945017894906,1.5633657838856612,1.5532006034404693,1.6286535262052482,1.6621028772844462,1.6859626002762438,1.6933049542704544,1.5478625722442867,1.5388726185342376,1.7301939185304254,1.75775342448127,1.7567253000017704,1.7572213694848209,1.5588974029899372,1.5703821106086353
Gardevoir,Charm,Dazzling Gleam,40,1.2134114597587995,1.2100115252722652,1.3120780468878626,1.3232099318140162,1.347428588588279,1.3397239376259402,1.2412570721136904,1.2634870196775252,1.3220759636680524,1.2886406239835333,1.3222729432250562,1.2994279374412914,1.2990073130666635,1.293236175904176,1.3170088646621712,1.2822885473184733,1.296701643740425,1.2966496716271534
Gardevoir,Charge Beam,Dazzling Gleam,40,1.3960264493543877,1.4004566172022441,1.4884400194504606,1.500842454490053,1.5345867661866146,1.5501157491219981,1.358185781541981,1.3832353883076633,1.422797573736838,1.3929049229111448,1.5179236422118703,1.5046218927608221,1.3868329736402096,1.3874041567004884,1.422399346079101,1.415035393664879,1.4974786470049313,1.488209541102482
Gardevoir,Confusion,Dazzling Gleam,40,1.6191334232157761,1.6383572677066374,1.705672668146297,1.79208003446008,1.8397582535213746,1.8498176873850007,1.7148192179873083,1.7572077941178301,1.7444571735618604,1.7511657489620571,1.7815620661558877,1.766023423326189,1.7278750177154063,1.7565685632547903,1.7252694368667147,1.7164199979555437,1.737726794654383,1.7637041390764892
Gardevoir,Splash,Dazzling Gleam,40,1.67699627024355,1.7261906131818936,1.7804507554921387,1.9107681589270964,1.891186330091716,1.9159308979329033,1.734700323998824,1.7916967199429605,1.8235606548568315,1.8448863808855003,1.8401327496751954,1.8678245240698939,1.8059578105299643,1.8504292307230406,1.8047306532345653,1.8590353945705074,1.8154512494479906,1.8278663608633385
Shadow Gallade,Low Kick,Close Combat,40,1.2763722160513424,1.1937617826691758,1.398470662859958,1.2951906317048139,1.328200009736834,1.2899995872851784,1.30708665156505,1.2484224463898577,1.3239560765078893,1.2420930670905734,1.3539294858861115,1.286348123531062,1.2809517340537477,1.2456921448168485,1.3024617958262712,1.2858718933966429,1.2475652736413037,1.2401235470247651
Shadow Gallade,Charm,Close Combat,40,1.309595975332575,1.2579647422827689,1.483595527415067,1.3960907934803088,1.3719519880051911,1.3810403195168603,1.4030691994504767,1.338277109367135,1.4436419436283034,1.3253017916507508,1.3959818216691422,1.347770214860402,1.362982620910862,1.3201109015811017,1.3674898591879245,1.3324088657420274,1.305632426233182,1.2989552603242827
Hariyama,Counter,Dynamic Punch,40,1.1978523794566127,1.2031117189000196,1.2071912590344456,1.2633136201002073,1.2211220594040906,1.2802016164815015,1.2315279431281674,1.2701055900543923,1.2221062747353808,1.257161482094335,1.224565174813938,1.2880201241877676,1.2586490469662044,1.2886409516633806,1.2437948538147303,1.285101741150282,1.3102605955204611,1.329802927318108
Hariyama,Counter,Superpower,40,1.3183761874966842,1.304776813811848,1.3275336586137845,1.3609056757990328,1.3538298744570236,1.3901444607699442,1.3773454923840698,1.3778361558210417,1.3726674772580882,1.3550292158671433,1.352366438550923,1.3864912432719003,1.3822109965494427,1.4018441122941057,1.3746089901434126,1.3901358137293982,1.4279804270881493,1.4323456863509307
Hariyama,Counter,Close Combat,40,1.3832414438342806,1.3493001921464536,1.3977178636655438,1.4107208225239134,1.4126852444043918,1.4370346848257154,1.4496200157792176,1.435027958350613,1.4373348305163558,1.4270100399831196,1.4000921987675052,1.4444091535115058,1.4337067459533606,1.4530081893032945,1.4320010135379926,1.4390724755347255,1.4625862382288994,1.480921876936558
Hariyama,Bullet Punch,Dynamic Punch,40,1.4010309252305517,1.460666467290852,1.4044669693144733,1.508762266006969,1.4301553540681389,1.54359802967223,1.5209685307082403,1.6194661958124412,1.505845144890346,1.607227453407239,1.4549278358245534,1.5252670676050517,1.5528807637488078,1.6516509781270683,1.595825969871465,1.6487976704514775,1.5440315189133251,1.5887958184083928
Hariyama,Bullet Punch,Superpower,40,1.5827286760080406,1.6104140373405764,1.573956905232608,1.6572459352045759,1.6043992593332939,1.7138425155830077,1.7277139379478519,1.7961946648581537,1.7059513714035743,1.7629886756196385,1.6235120873985884,1.6897792517618677,1.7394217911616092,1.8211585119143778,1.767923643250735,1.8413709666555464,1.7136505924037855,1.7388026354296355
Hariyama,Splash,Dynamic Punch,40,1.6605951946858761,1.7714907956203882,1.6643061328936133,1.8122461123310305,1.6762821188503438,1.8317621698338118,1.6897606291025757,1.8038598556862733,1.6843398559535412,1.7835986141854172,1.6966167004063153,1.8079674446060985,1.7390020553543117,1.8658540508314398,1.748834832563576,1.8328103705345578,1.8508089232968215,1.9080815500403394
Hariyama,Splash,Superpower,40,1.8994843689604093,2.0045066270838583,1.893070352214149,2.0397574445735387,1.9179695243162262,2.0779009052060573,1.968967261039412,2.0489197599273172,1.9552879379174228,2.0185486978380425,1.9803865044275717,2.092840951651592,1.9729497675518375,2.0808470310201312,1.982167160586815,2.066534724122313,2.082783285578831,2.1270331746199593
Hariyama,Bullet Punch,Close Combat,40,1.9299663909279927,1.918173203128959,1.8596770253557942,1.9510730525973157,1.9828204028834984,2.052372906133683,2.251325529257785,2.283706353010582,2.175817554930198,2.2210227471755775,1.8968042137344583,1.9682473254423885,2.1936787758048304,2.2784354184508087,2.237501004223664,2.29033154837704,1.9756393187003367,2.019323789683314
Shadow Machamp,Karate Chop,Dynamic Punch,40,1.1151679148311926,1.0231444857725467,1.015351620680281,1.0302050405568242,1.015950208075536,1.0254335886672439,1.039287877411975,1.0276915479484574,1.0414793178632074,1.0246607606634162,1.010583226233222,1.0182759161200343,1.0108251230532328,1.026002503399104,1.0244659739182003,1.0284267770386466,1.020582182784086,1.0279717017574213
Shadow Machamp,Counter,Dynamic Punch,40,1.1226536177121746,1.001692114003074,1.0,1.0,1.0,0.9999999999999999,1.0,1.0,1.0,1.0,0.9999999999999999,1.0,0.9999999999999999,1.0,1.0,1.0,1.0,1.0
Shadow Machamp,Counter,Cross Chop,40,1.2599153920454882,1.1231456699761742,1.1391672803431654,1.1360795806056287,1.1471508613230659,1.134903700630879,1.156292858612712,1.1258642811304647,1.169337599845689,1.1253218749530862,1.145599450944898,1.125719404412462,1.1568746057633634,1.1399191542199645,1.1552728094358233,1.133178293485485,1.141085012744473,1.1513958988288002
Shadow Machamp,Karate Chop,Close Combat,40,1.3734840759021016,1.2066028181451964,1.22121662376249,1.213059148427348,1.237488130389857,1.2140740440625226,1.2489322784973587,1.2152144633558557,1.2706420779614427,1.2020222751178895,1.1822071493266657,1.1827888117219707,1.220468821251732,1.2072335331096333,1.2075814693015527,1.202975940956636,1.1967247363301754,1.2085801372466654
Shadow Machamp,Karate Chop,Cross Chop,40,1.3283970973753598,1.2042496423433056,1.223129967110343,1.2197113506225867,1.2280129927584953,1.222151689477601,1.239815114890866,1.2126818266370976,1.2489708359310145,1.2047345884841278,1.2150082604404506,1.1985545402094449,1.2311038111805694,1.230817329069024,1.2327156992034556,1.213085190334271,1.2283502851617045,1.2394535267296087
Shadow Machamp,Counter,Close Combat,40,1.3104764976500598,1.1171464860305607,1.140266001641292,1.122761622190813,1.147235944872533,1.1178499613816844,1.1719331957581063,1.1217149611251118,1.175885134832583,1.1158050585234771,1.1271672336101364,1.116360553105057,1.1492344007125816,1.1280279191191924,1.1339593662930767,1.123345996662985,1.1093889620716573,1.1170106145367737
Shadow Machamp,Counter,Submission,40,1.3339246991731208,1.153361734413924,1.209616185233731,1.1711929749081122,1.1978596709890423,1.1653643221189292,1.1970802199093071,1.1602719232867769,1.209107097956414,1.153567538444345,1.1895004062141412,1.154022365281746,1.196137343783159,1.171749566444444,1.1954398149093746,1.1615905238642767,1.16517828138403,1.168990755337411
Shadow Machamp,Bullet Punch,Dynamic Punch,40,1.326551924795175,1.226223900601881,1.1961905685686172,1.2281065284703823,1.1901144138661008,1.2261383937108912,1.2936756496013957,1.3083030314831288,1.2925274952380623,1.3216386907154762,1.202446421129502,1.2291126774854173,1.2589225985435548,1.299787993835147,1.273872544004987,1.3057830444359142,1.222556069561189,1.2522314259310143
Shadow Machamp,Karate Chop,Submission,40,1.406831163887806,1.2434690437664504,1.272026025839503,1.2514698158552306,1.270108268437537,1.249457839366856,1.2921763739957828,1.2411819855172557,1.299402458640893,1.2295893098116273,1.256201789909162,1.2280658069159287,1.2738208882449742,1.2495785968669622,1.277281240539909,1.2395580736056462,1.2516083600353662,1.2500540003783567
Scizor,Fury Cutter,X-Scissor,40,1.2879482718402127,1.2736345180209638,1.480674742096336,1.457863824155017,1.4671479675723995,1.4473258725176827,1.3655183273029619,1.3519603574327124,1.4039381654226497,1.3699191496956646,,,,,,,,
Scizor,Bullet Punch,X-Scissor,40,1.5273457085905664,1.5292191783911542,1.6182165561198116,1.6047940686768036,1.6477207391075996,1.6407346958767972,1.7643398013684766,1.7817870309876382,1.7988186950396625,1.791600042034819,,,,,,,,
Togekiss,Charm,Dazzling Gleam,40,1.2301194044179382,1.2429713016410593,1.2627825134742938,1.2954841482091488,1.3087220951361482,1.3304580363512561,1.2530427480165591,1.2768745062182838,1.3139771909218352,1.2905704224999708,1.3157074013554884,1.3249736299727477,1.31336453937373,1.331843815632019,1.3255469603956787,1.315678706961556,1.3386271702561794,1.337596841520959
Togekiss,Hidden Power Fighting,Dazzling Gleam,40,1.3565589059830212,1.3807783749520932,1.3893783127363506,1.4294784627066668,1.4382143283427258,1.4734535930907002,1.3766717514514963,1.4049904526903776,1.4307180622961322,1.420621614904346,1.4498758601309485,1.467106659203747,1.438350752565154,1.4775714526720318,1.448202498308573,1.466172082118329,1.4739771701149402,1.4669332235421118
Togekiss,Hidden Power Bug,Dazzling Gleam,40,1.3565589059830212,1.3807783749520932,1.3893783127363506,1.4294784627066668,1.4382143283427258,1.4734535930907002,1.3766717514514963,1.4049904526903776,1.4307180622961322,1.420621614904346,1.4498758601309485,1.467106659203747,1.438350752565154,1.4775714526720318,1.448202498308573,1.466172082118329,1.4739771701149402,1.4669332235421118
Togekiss,Hidden Power Flying,Dazzling Gleam,40,1.4406921986699532,1.4742159745554393,1.4600576111413872,1.5074767386758436,1.5215570016557167,1.565437522308143,1.4634060449232824,1.5012430766987233,1.5190811613272113,1.522461305448013,1.5579539844640136,1.5680574784045542,1.5405078832640995,1.5740800973337583,1.5695939819066782,1.5724653464035165,1.5767887458817038,1.5718460459827799
Togekiss,Hidden Power,Dazzling Gleam,40,1.4781297658817814,1.5310743191550962,1.5056364218810026,,1.5657080081213082,1.624182185928178,,1.5628860922482641,,1.559789425574184,,1.6089135326968564,1.5782546230785668,1.624811101309745,1.5843887858035615,1.6142573907503395,1.6434421753078305,1.6412139828708892
Togekiss,Hidden Power Water,Dazzling Gleam,40,1.501940374424094,1.542780276624109,1.5142752852798047,1.5675540787601763,1.5778695716202533,1.626154146415798,,,,,1.582105497631216,1.6179081031778726,,,,,1.6542107136434125,1.64977316920633
Togekiss,Hidden Power Steel,Dazzling Gleam,40,1.501940374424094,1.542780276624109,1.5142752852798047,1.5675540787601763,1.5778695716202533,1.626154146415798,,,,,1.582105497631216,1.6179081031778726,,,,,1.6542107136434125,1.64977316920633
Togekiss,Hidden Power Rock,Dazzling Gleam,40,1.501940374424094,1.542780276624109,1.5142752852798047,1.5675540787601763,1.5778695716202533,1.626154146415798,1.5323667243460664,1.5734783237335472,1.5612914581345603,1.567805999302756,1.582105497631216,1.6179081031778726,1.5886556044202969,1.6393042952381087,1.590671886978346,1.6240069357568558,1.6542107136434125,1.64977316920633
Togekiss,Hidden Power Poison,Dazzling Gleam,40,1.501940374424094,1.542780276624109,1.5142752852798047,1.5675540787601763,1.5778695716202533,1.626154146415798,1.5323667243460664,,1.5612914581345603,1.567805999302756,1.582105497631216,1.6179081031778726,1.5886556044202969,1.6393042952381087,1.590671886978346,1.6240069357568558,1.6542107136434125,1.64977316920633
Togekiss,Air Slash,Dazzling Gleam,40,1.4749817470148896,1.499807117080539,1.467174897163985,1.5195988111477743,1.5285926983754805,1.5730262593962538,1.4860348925655225,1.5108699299725865,1.5407871233074883,1.5291078776920217,1.5575607105747782,1.569469006447848,1.5682835661976091,1.6076978092755867,1.5501687544813438,1.5816278459521176,1.6167391615483193,1.6078328191868292
Yanmega,Bug Bite,Bug Buzz,40,1.2886215901444829,1.2388334933124088,1.31000241216343,1.2852540429754986,1.419819977769079,1.3833521272274314,1.3540400712147582,1.3433485971524202,1.3258690493002618,1.294561661909949,1.3516699025740462,1.3345836841821457,1.33701892115561,1.3160757610633511,1.3517286538842792,1.3185001363537106,1.3088393772674756,1.303729534025091
Yanmega,Wing Attack,Bug Buzz,40,1.447452961194196,1.4246360885762555,1.4632372764760462,1.4666086342215499,1.559257507258264,1.5736058742773897,1.5250661702405957,1.523419183857279,1.4834951416181286,1.4815528863074916,1.5154224582738092,1.5226182318734822,1.503836808245503,1.4836588335961591,1.5064719517179983,1.4994832822653124,1.485985316785135,1.4820654606121633
Heracross,Counter,Megahorn,40,1.2902331160940381,1.2253561680710499,1.2529622770822777,1.2627950246462476,1.287738459538829,1.2903649835208866,1.236966649532247,1.2318854869707914,1.2822091945867187,1.269995446227959,1.2368617917338853,1.245932704866429,1.298515614157345,1.2893208439786172,1.3040848935992255,1.2903732072939784,1.2491576265808182,1.2466335832773
Heracross,Counter,Close Combat,40,1.332150517441601,1.2823430594390297,1.2952070950788037,1.315749211530573,1.3285065228446298,1.3417259068652312,1.28257408692566,1.2841322429776836,1.3200818398817866,1.3111715537703734,1.2770327246517457,1.3007690951922568,1.3363986799911,1.336028430950648,1.346204083801375,1.3434224702084974,1.2937040796437762,1.3001524231584445
Heracross,Struggle Bug,Megahorn,40,1.5452000333480145,1.4502878640008667,1.4426048812488115,1.4535931256452923,1.4663097201964537,1.474528314580005,1.4716945913274289,1.4581326547817957,1.4876971511041148,1.481077759410712,1.439795636057292,1.4498255526102892,1.4954755035397769,1.4873779217641314,1.4855600531835116,1.4770570873194675,1.4355840330160476,1.4427092659841738
Heracross,Struggle Bug,Close Combat,40,1.5936276660516373,1.5135178936306457,1.4980586551359298,1.5260628485733105,1.5179689328263102,1.543473156982658,1.520900381817076,1.5225843069490081,1.5459790646969065,1.5469223006390294,1.5043580362110047,1.516852973567533,1.5445504105201242,1.552862038547485,1.5420200643091364,1.5398683759350476,1.5011822888075559,1.51519175823592
Shadow Granbull,Charm,Play Rough,40,1.2279460149543948,1.1531323420363373,1.147317942284204,1.167869877259068,1.1789959959165963,1.208727195049478,1.2336128159904958,1.2000024443101227,1.3098119680493794,1.211210619463122,1.2024216172207607,1.1800824744848055,1.2030189255615142,1.1910144628128712,1.2191398410387455,1.2172702134328952,1.1566300802520457,1.1642946600314776
Shadow Granbull,Snarl,Play Rough,40,1.4362215857654506,1.3616960842235748,1.354085477372248,1.4061021860484937,1.3783399274348038,1.4371764138166034,1.4366227808913175,1.4196957952480127,1.5473703426872825,1.4714096843552078,1.3842931854944376,1.3899331729136186,1.3954455617491146,1.4171846339046876,1.4527976635550437,1.4608551081360206,1.3748593494151289,1.4038459546847921
Shadow Granbull,Charm,Close Combat,40,1.4515097976634495,1.3523000351871672,1.3801011577108186,1.3558313879372264,1.4334744466498086,1.4022921092705574,1.4699403405611702,1.3868274056050933,1.5548385763442782,1.4247341547915524,1.432381821618479,1.3671518631711919,1.4088661478959237,1.381539790606606,1.4860143258716438,1.4162192200884733,1.3457363217011964,1.334947874442892
Shadow Granbull,Bite,Play Rough,40,1.5717123363231456,1.4788531569508756,1.5038269164255569,1.5926677349017668,1.5543667956367457,1.629105737688437,1.5893445293019406,1.5413059410407541,1.7614102224074564,1.6029839383622768,1.5718434345193486,1.5834654964705732,1.5898301450497094,1.6099406461371735,1.6340827702800094,1.645961637797679,1.561450181680538,1.6124571386388473
Shadow Granbull,Snarl,Close Combat,40,2.2244864532113042,2.088271291594159,2.1302908252279114,2.1278979299821694,2.303452223312013,2.2315756469229235,2.2104815577270265,2.16839792871646,2.531572076618111,2.2124741994618877,2.128956851458109,2.0846028356570354,2.142248656015638,2.122862067141421,2.24325948997519,2.159909733730467,2.010624474472919,2.0470346609080643
Shadow Granbull,Bite,Close Combat,40,2.4629750723592965,2.1750229109926194,2.4302522050874953,2.4356523207929515,2.577877078992265,2.525655063837005,2.5438428559883963,2.205182020317603,3.075768299445789,2.452711129051898,2.327317614959151,2.328509867942603,2.469257619827744,2.4451437846075983,2.617390769509252,2.470437451456891,2.222351390592912,2.2537481092566436
Pinsir,Bug Bite,X-Scissor,40,1.3563633653536027,1.304415861851056,1.3950984328595368,1.3851835004397357,1.4430602232282943,1.41612039904232,1.3839702644226965,1.353130643404568,1.411276750378027,1.3792540154094308,,,,,,,,
Pinsir,Fury Cutter,X-Scissor,40,1.3687372471214179,1.3245907582656682,1.4865139643842156,1.46412244623442,1.4996706614480069,1.4741534697449041,1.401875594115868,1.3796053392018872,1.4370817331041632,1.3971549767057045,,,,,,,,
Pinsir,Bug Bite,Superpower,40,1.5015280295955205,1.414013238057526,1.5432965467774646,1.4950622792016064,1.5780006852183184,1.5347401567137136,1.5139206190385341,1.452011315084418,1.5542924260220512,1.47633596495764,,,,,,,,
Pinsir,Bug Bite,Close Combat,40,1.5027723905389325,1.4325238053174256,1.5447722802857329,1.5344110494049321,1.6347801530563575,1.5813626452570975,1.5249540328231053,1.4736391510538085,1.595070800453288,1.5376528891431738,,,,,,,,
Pinsir,Rock Smash,X-Scissor,40,1.5193623118595139,1.4911347294410637,1.5869530802305978,1.580575953620593,1.6031674436670313,1.5958586108563346,1.5978773036699594,1.586680332707894,1.5630074778780871,1.5423513810606455,,,,,,,,
Pinsir,Fury Cutter,Superpower,40,1.5206538737171331,1.4406033797841042,1.666281605403246,1.5937090844307902,1.6822881681238806,1.6069802170517131,1.551857432186438,1.4911222242062103,1.593807311167217,1.5196260902781138,,,,,,,,
Pinsir,Fury Cutter,Close Combat,40,1.5462811490243602,1.483143405343654,1.7092023396708993,1.6913314313203724,1.7746920877910568,1.701366962889076,1.5833940813771075,1.5278473209325334,1.6457614450112459,1.5731102596650894,,,,,,,,
