Attacker,Fast Move,Charged Move,Level,"Arceus (Dragon), Tier 5","Arceus (Dragon), Tier 5","Kyurem (Black), Tier 5","Kyurem (Black), Tier 5","Kyurem (White), Tier 5","Kyurem (White), Tier 5","Kyurem, Tier 5","Kyurem, Tier 5","Giratina, Tier 5","Giratina, Tier 5","Giratina (Origin), Tier 5","Giratina (Origin), Tier 5","Latias, Tier 5","Latias, Tier 5","Latios, Tier 5","Latios, Tier 5","Palkia, Tier 5","Palkia, Tier 5","Reshiram, Tier 5","Reshiram, Tier 5","Zekrom, Tier 5","Zekrom, Tier 5","Mega Ampharos, Mega Tier","Mega Ampharos, Mega Tier","Mega Charizard X, Mega Tier","Mega Charizard X, Mega Tier","Mega Latias, Mega Tier","Mega Latias, Mega Tier","Mega Latios, Mega Tier","Mega Latios, Mega Tier","Druddigon, Tier 3","Druddigon, Tier 3"
Dragonite,Dragon Breath,Dragon Pulse,40,1.3380826974271185,1.3787464501445865,1.3600893103414768,1.2929337630820583,1.331832307562287,1.3511100507409368,1.3824854981992307,1.338537940592208,1.3713281774889396,1.3801344105625715,1.3288393885491336,1.3788330353709344,1.32697695242614,1.3922120802427238,1.3480416396424957,1.3950992583636836,1.370577390049876,1.3916464207204196,1.3724512823496073,1.3783282382033955,1.23322247224381,1.3802572255938181,1.280112141820664,1.3296194457141923,1.3845840891255106,1.378416816177366,1.2714249792373635,1.3335583806925093,1.3631805699813868,1.3530577117195621,1.3804263808998027,1.3947606447022256
Dragonite,Steel Wing,Outrage,40,1.4140524695163967,1.4815403706440264,1.291206927954979,1.2242016554017672,1.2518406357774077,1.2703348253033107,1.334903916953366,1.281841384719835,1.464356061726465,1.4940896304583715,1.4108500521437062,1.4876708103126668,1.3963893739643218,1.4940073812465207,1.4236426919379241,1.482636732780149,,,,,1.4222014780174337,1.6411460516469396,1.5322451683768792,,1.6048485082296142,,1.3424947736151132,1.414691398659976,1.4365553450322035,1.441878413629523,1.5173126796705785,1.5366782022774699
Mega Charizard X,Dragon Breath,Dragon Claw,40,1.1808375374471385,1.2310556919052862,1.098423514502964,1.1519238939045322,1.0882056588817428,1.2120037418694463,1.1643547791650426,1.2585082337706006,1.306511639207799,1.3351598325992526,1.2003021171285304,1.2665883941795346,1.2381572375732,1.3233229103975968,1.2183928770284969,1.267274723817138,1.2965740883297687,1.3285918795566607,1.2128205824382425,1.251117278948502,1.0937766097273078,1.233007632056066,1.202899365710138,1.2566147753757595,1.2292768584365694,1.2497478150063843,1.1825305403556607,1.2791508412689676,1.2210177686711,1.2248235763814503,1.3248463667535777,1.341324033344607
Mega Charizard X,Wing Attack,Dragon Claw,40,1.3951141911055336,1.472640560646288,1.2883311269861797,1.3901085493949812,1.2930782753003245,1.467250417319444,1.38119895858043,1.4906629612193516,1.5228146642609346,1.564878762882246,1.4443379117379058,1.5285432584268,1.4313214049370075,1.553057821324123,1.463728878781621,1.5425706468865452,1.5146373255115626,1.5425745329939475,1.4750359749617936,1.5330793413780237,1.402234123179826,1.640600658846792,1.5503454207838743,1.6500930389029647,1.4897937799437038,1.5298518606819924,1.335346223703529,1.4666175381915854,1.4754174606672472,1.512190400580463,1.5588781392656557,1.5898790839685328
Mega Charizard X,Air Slash,Dragon Claw,40,1.5163458120860867,1.633124283512689,1.3909703467440868,1.48497906579016,1.3717690196401477,1.5722393158342345,1.5044973901747491,1.5957765818443663,1.617714139028214,1.6758466788590796,1.5479529711937017,1.6703583808252538,1.5084155484166721,1.644679319492381,1.5602182732023162,1.6560366392869148,1.6159356936917184,1.654973306569793,1.6059085949322294,1.660991930348317,1.5286956913434109,1.796466303851911,1.68802547283686,1.810588952981985,1.590615418903141,1.6417616412853517,1.4452453648886934,1.5711316287400081,1.570311481783881,1.6033443666119842,1.6660594643770492,1.6990608995740033
Mega Charizard X,Fire Spin,Dragon Claw,40,1.5373211060415923,1.649683556699002,1.267242335154971,1.3488125111189868,1.2400295598720463,1.4162726802232743,1.3291941765561723,1.4130477584278416,1.6820403051673944,1.7447731894605512,1.5553990183473452,1.6708514619696069,1.5323544521006094,1.666750438832952,1.570097278594941,1.663032992319861,1.7864362649486143,1.8216040186582831,1.7956425115022838,1.8272089091772237,1.420137332616241,1.6434225474685349,1.5604060645456177,1.6648908533583973,1.7482123211806884,1.817827650061906,1.4746610994590623,1.620701960533209,1.5889263103323965,1.6220054879104862,1.6952006155307495,1.7424927881927115
Mega Charizard X,Ember,Dragon Claw,40,1.563406166355967,1.670992076361525,1.3020271234938972,1.3961401034996062,1.2937104727152502,1.4656934140313893,1.374570192342045,1.4562697397329112,1.6996356541323518,1.7679276956628414,1.6034602671798477,1.7064412276938954,1.5493521493053264,1.6835583234424158,1.5762370018211187,1.6694349356204816,1.7467466902072892,1.7856202852608187,1.7384689892131449,1.785688306083983,1.4239202949182692,1.6515824098532608,1.5690263342443027,1.667245416098892,1.7177863148801509,1.781521026246605,1.5068505053302068,1.6543376287048093,1.6027220439489986,1.639835381003484,1.6949955406843655,1.727597408823393
Latios,Dragon Breath,Dragon Claw,40,1.1764265727798286,1.2438005293607672,1.1736497616372665,1.1635865295615715,1.1415991445058788,1.213872030779775,1.1859583236908575,1.2784126881567421,1.3096536337399698,1.3472462404845547,1.2959892241090607,1.3445350617224743,1.2394851352869933,1.3300362567682562,1.2860620325502587,1.3426747384570308,1.3069499902470805,1.342407961968046,1.2994100111229403,1.3383670858370733,1.1577140121727223,1.3245063853493597,1.1845286923657101,1.2541358495791606,1.3176448982311484,1.3268454153327616,1.1837673627831886,1.2746147327759199,1.2101672492867157,1.2245969360647164,1.3552266544109173,1.3472185477552396
Latios,Zen Headbutt,Dragon Claw,40,1.4442845057703049,1.5691008500592727,1.440115402794773,1.4338348592696784,1.41227025729697,1.5072892141372445,1.4176307801344934,1.5162507033147905,1.5499100491428524,1.6095818966347797,1.49889764300187,1.5587560240063258,1.5842400775565755,1.7340988153452144,1.6379795750947768,1.7458547982785122,1.5553974944865891,1.5840768046936202,1.5368120488114871,1.5874745392932181,1.3594138185893045,1.5766758128728489,1.4233006900790728,1.5280057489295498,1.53669777002947,1.5802875683556892,1.531548255371774,1.694452713655507,1.623788078900393,1.6891372747896378,1.6065199109939732,1.620606346729813
Latios,Splash,Dragon Claw,40,1.7333673047489861,1.9105836224855102,1.8064530982421232,1.7897204231712176,1.753753789813618,1.9083329987722277,1.7748746102642718,1.895169852817277,1.900194004402997,2.012054433122368,1.8588508775505024,1.9420203360447468,1.7641222354416426,1.9201216875329705,1.8263525715958966,1.953576868625883,1.9052819929926765,1.9374135297686181,1.8859599543368273,1.9479578951515344,1.6255461875795592,1.9217689754026048,1.7580198049580384,1.9222753126886216,1.8567603661059355,1.9368741368796454,1.7035765141148032,1.8683416780594555,1.782792163472936,1.865073632686617,1.9567063104563094,1.983977476116059
Zekrom,Dragon Breath,Outrage,40,1.147460213548429,1.1685767118048709,1.16549527198866,1.0844954958584712,1.1443102919551265,1.1440641018311208,1.10606272742966,1.1755135092773437,1.2235996611129187,1.2428860746547183,1.1732107041808735,1.1878722050668116,1.1222250068227668,1.1756937687639282,1.1618758890083882,1.1925923003839372,1.2345746213746547,1.2259610574085347,1.1618473462413181,1.1761905799305747,1.0383928277031236,1.1569914446536755,1.0922150752444801,1.1574328486730552,1.171891279632588,1.1599288050777836,1.1008074602102487,1.1810262983379074,1.163635442007674,1.1552398242894124,1.2343701176239545,1.2468475335949987
Zekrom,Charge Beam,Outrage,40,1.3346008388884454,1.4108856324000887,1.3529618746700134,1.3342728460814666,1.3365477625019773,1.404831265592321,1.3025939788679846,1.3684050485661468,1.4059812302192627,1.4221908845043736,1.3722791573668267,1.4353171737948214,1.3211173105634266,1.4045997236126802,1.35260711939284,1.3974124043744687,1.3419994122942258,1.352321954066505,1.3754418538346647,1.3831483294355988,1.2406993090614686,1.415746161816709,1.2937867466947435,1.385684845344704,1.3593704506529578,1.3705691720628947,1.2491667651224423,1.336749372507301,1.3583619288505293,1.3875946918264133,1.3910568650305775,1.4210755320887454
Garchomp,Dragon Tail,Outrage,40,1.1615397937052536,1.1905900801036269,1.1146930262237627,1.1223390448694526,1.1522020491744265,1.1863762269812852,1.1827064356163175,1.2161057982145902,1.1911115031459032,1.2166859329051865,1.1714306642615102,1.2095806826817386,1.1598548846551069,1.2015810994270957,1.1917638326389672,1.2145693372503465,1.210849315822819,1.2089820832966247,1.1707133855646776,1.1885627719062708,1.0535014864108678,1.174499263354218,1.0722640782506163,1.1427472832673675,1.1793041388227814,1.1911032921330762,1.078977606949571,1.154094158167478,1.1775114076509408,1.1810456338835198,1.2174190584840228,1.2168393897128462
Garchomp,Mud Shot,Outrage,40,1.337439431746469,1.3802620271946158,1.2921228547914607,1.2779962178972506,1.3445173168920963,1.3602794024282348,1.4105317185686672,1.3765221369166767,1.385654396447179,1.4452170191214857,1.348513654981669,1.3926840091736303,1.3096681727292672,1.3784279013626493,1.324910370271665,1.375107635993799,1.4065909694341374,1.4108754265141599,1.245060035040067,1.2587511151646387,1.1198506531776211,1.2530288343600857,1.1654475220292193,1.254015209635103,1.2605314553726705,1.2662182170520953,1.2548124707805397,1.3495125908567864,1.3339892725060818,1.3543686901691774,1.4107845457274761,1.4307344240829478
Haxorus,Dragon Tail,Dragon Claw,40,1.1765246335076633,1.1939551700637938,1.224357474583404,1.1407910269952524,1.1581455698530825,1.1876946469801324,1.125586018447679,1.1821791189876973,1.2138108634014628,1.2245566599362154,1.153157309253648,1.1930944956738465,1.154688400226177,1.199073596195449,1.2201057937085837,1.235334444689637,1.2017133050574582,1.219412244504889,1.173013916804336,1.21151454225004,1.1939830481259666,1.2062323734593092,1.109341399258643,1.1773758928383884,1.203769977853488,1.2178990773730243,1.1943770475353293,1.1796852632174133,1.2067538031251281,1.1986936285449012,1.2340374150378404,1.2196508872656937
Haxorus,Counter,Dragon Claw,40,1.445451986058421,1.5091972454484799,1.3280416881259154,1.2153336322520232,1.2374387461762233,1.2711946569306891,1.198079465587439,1.2423700421481558,1.7759272913964093,1.849441289583667,1.671324495742286,1.813024731323175,1.5946195125779714,1.704234966093563,1.6276542367058446,1.6983352335455189,1.4800600621939686,1.5137978008708997,1.4681261416599711,1.510570077355372,1.52526483336695,1.5039090456860231,1.3407112658410965,1.4570437890211316,1.4733372763568044,1.519281178091235,1.7934940470010605,1.664877521438476,1.6248710751200486,1.6623871687051168,1.5254654412843933,1.530220268339135
Kyurem,Dragon Breath,Draco Meteor,40,1.3101940541559975,1.352771119656252,1.1901803473894215,1.2417587177446767,1.3339207723585074,1.2976496209988264,1.3568577555921262,1.3563097459650941,1.4224901967826857,1.439786507290587,1.2762341840970675,1.350520716305752,1.2742828959924941,1.3503973383566064,1.3367018028253337,1.360833687059077,1.4230224879956086,1.3549057098462893,1.4160686061420331,1.36645373871273,1.1869096592108255,1.327067972861941,1.3791997319406788,1.3451410998339715,1.3803421239887275,1.3732242152678649,1.2106743352531457,1.2750750501114192,1.3700122272156474,1.3289361112441715,1.43160092424572,1.4281000759066156
Kyurem,Dragon Breath,Dragon Claw,40,1.2928666374101447,1.374247798515453,1.1641987222372134,1.243093158178935,1.2381239107950877,1.3171038220375726,1.240078495921836,1.3720239101196219,1.421729338240576,1.4718130388882946,1.292117906624716,1.3623526507108026,1.286993933534657,1.3850132265192203,1.324762066252847,1.3866975508921682,1.3364532553747597,1.378102841734508,1.3120280884401085,1.373010615066658,1.1822774760547348,1.3501040913094338,1.32726149106303,1.3764356903522164,1.3509696626395926,1.3961608923045274,1.1865234059221863,1.3053218645304767,1.3186605535428975,1.3489653633695942,1.4187377546009123,1.4540746308143526
Kyurem,Steel Wing,Dragon Claw,40,1.5178059784855757,1.6473123643087753,1.212603711397334,1.3142063357728224,1.2998238344378514,1.382736140801412,1.2600000922673622,1.3869365801935725,1.6860131434945935,1.7685773766423885,1.581830789896633,1.712412790861184,1.5244594852512294,1.6653669581176915,1.618699789511443,1.7426269277067707,1.827385773167638,1.890798829240623,1.7886115166237802,1.8910967160806755,1.573429164497329,1.8759076703384452,1.8043417413223313,1.9095960601250368,1.7727989195353373,1.9154613285501385,1.3974412671025331,1.5667094294094586,1.5450715208615975,1.6151956539280674,1.6852181445187095,1.747369444608959
Kyurem,Steel Wing,Draco Meteor,40,1.642806885195958,1.7120690461947465,1.260451370538999,1.3398309082285416,1.4236819167269057,1.3895244910807925,1.3954512619653872,1.397727494129006,1.767740601376676,1.7974045418129354,1.680601600707752,1.7957178673530017,1.5885626347830897,1.6986226208806159,1.7771286889440565,1.8351482536338806,2.3387546812242785,2.0138399992168834,2.3890318048394246,2.055501544008236,1.772763730744548,1.9904222540603453,2.177775476172775,2.018775820754494,2.0552515585032705,2.0563260132263714,1.5159714970356526,1.6157742471679046,1.7039271671087899,1.6787500591902627,1.7839868765860576,1.801624601821182
Shadow Salamence,Dragon Tail,Draco Meteor,40,1.0839797422766408,1.022262533625883,1.2098461636593818,1.0003346902772825,1.1734674911368976,1.0054597496531972,1.0847610902955227,1.0244471878830725,1.024478094879932,1.020226583985915,1.016790985964949,1.0294122192115143,1.011577878538697,1.0217242548449434,1.0910197232767,1.0370328549499446,1.0758940623395286,1.039095405036657,1.0707672952690745,1.026010507638306,1.088179062346992,1.0187555053764046,1.0378642792951074,1.0067839546985065,1.0946426622066223,1.0274135524043428,1.133068108889051,1.0342319875051909,1.0787932504172248,1.0190336192448175,1.048578086948432,1.0196478157035564
Shadow Salamence,Dragon Tail,Outrage,40,1.1039883016226488,1.0,1.1586814839509734,1.0,1.1263824452948257,0.9999999999999999,1.0212147877974054,1.0,1.0,0.9999999999999999,0.9999999999999999,1.0,1.045655012370167,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0495771384039123,1.0,1.0006575989077684,1.0,1.0,1.0,1.0757273841984496,1.0,1.0094570324823535,1.0,1.0,1.0
Shadow Salamence,Bite,Draco Meteor,40,1.481835870913456,1.3573907563237435,2.058834844388366,1.3720723242087522,2.039816887135233,1.3975540726478062,1.7282516976389963,1.3681238160206317,1.180235161013619,1.1903850365249973,1.140837029755402,1.130835659453105,1.1147819479400596,1.131395667997944,1.206431089574575,1.1549708938084327,1.514905771207944,1.4091411406358432,1.5368755829442817,1.3727214631195577,1.5671272653146413,1.3604490210024434,1.4545940635958878,1.356606173319868,1.4900909761205918,1.3737575800741149,1.3396858112212326,1.1835511349913446,1.1803126761882599,1.1178275483800828,1.4120949363216886,1.3644631291208358
Shadow Salamence,Bite,Outrage,40,1.3974661978369514,1.1923935148207387,1.5438403297336611,1.1538249908482705,1.5698212308530046,1.20136809225742,1.271057799172362,1.1963184929321804,1.0975085249960914,1.1111384480458144,1.0699232993014538,1.058545096823718,1.118066418966043,1.0553562606725289,1.0732369241430733,1.0590250476522052,1.1884952393909036,1.1843561339330526,1.2025482547943078,1.1965268151497424,1.3239986797638597,1.1733835812294404,1.2010675246428821,1.2004886945757813,1.1783799025279895,1.1974704252846011,1.2082068446084147,1.0613040614495373,1.0583958459414395,1.0530455118851758,1.1926252325907611,1.2084652252498698
Shadow Salamence,Fire Fang,Outrage,40,1.4853687772466468,1.285417333577432,1.4853732015654475,1.1716166118283011,1.4870675305392058,1.195710884448039,1.2432531369025568,1.187582979318328,1.2524536037387441,1.2892495859163193,1.2266371541934569,1.2829855921192277,1.313733783665672,1.2705811180500648,1.2617209118349977,1.2737414825008677,1.3436444013635667,1.3643177665090114,1.3613425377746404,1.368606159685849,1.4734875081697603,1.2672609590660353,1.276192865038613,1.2851594308817587,1.3274171595045254,1.3764437698471956,1.485837771260728,1.2537590210851777,1.2401627729931013,1.271688617362178,1.2846318276023967,1.2846374207566666
Shadow Salamence,Fire Fang,Draco Meteor,40,1.7002367420807913,1.5102217823959956,1.922713216480404,1.3405914550229088,1.9122978602826923,1.3659768726056114,1.6764175565907382,1.3531723659830126,1.501606386035486,1.5436764498415463,1.4952599247614342,1.4875416192635578,1.5247980817768805,1.4912280201004537,1.65754102253358,1.5804831315009535,2.075372202691077,1.8144995104198165,2.2252782857061453,1.7428490159546894,1.9261797224650625,1.5335306656583751,1.6993233704901336,1.5348823368785138,1.9118286482901254,1.7603639532967164,,1.568112399360581,1.6161435732149916,1.5236598935298837,1.546161400045512,1.5266264557889357
Shadow Salamence,Splash,Outrage,40,1.802773627059139,1.457181779567452,1.927705167237626,1.5065464165240754,2.015418595335192,1.5670082564312517,1.5764177067934204,1.4680524994807032,1.3675049755553397,1.4265280589570526,1.3279300729954882,1.5095261820581343,1.4563115498293862,1.4462607558174085,1.3924421156468212,1.4239903123037334,1.3477078816850898,1.4059286162725817,1.381604515807615,1.4115796415832618,1.985069325996737,1.4384104745081574,1.3929015006958823,1.435565600178443,1.4229438761423978,1.4209033171794356,1.6740369999469418,1.4143340189601465,1.4111644498787626,1.4436154245840036,1.3847640725796715,1.401998416024255
Latias,Dragon Breath,Outrage,40,1.3355196991897635,1.3583422448018605,1.3974621650706467,1.3227322154811292,1.3867003268753204,1.3839293448357932,1.242825595695792,1.381464559252641,1.4565513591400214,1.4584371397424722,1.476746415138006,1.4624999296909391,1.3796365828729824,1.4416265843912008,1.409359036135448,1.4302370963912237,1.451185346670995,1.4496677442457462,1.439783118295939,1.4505391463401645,1.2978568780614381,1.425873962033436,1.2935297223692495,1.3572993945552987,1.4371600271035219,1.4418260646531746,1.2943513250223448,1.405281872753505,1.3304854745542856,1.3388065283035702,1.444367723679183,1.4522893913843868
Latias,Charm,Outrage,40,1.4734430876027302,1.532672774401834,1.493375153017837,1.4611800324763526,1.508705472885956,1.5290505638974707,1.3179199632132172,1.4952155920103811,1.548478863925428,1.5701779104161648,1.538664465581876,1.5957118281747205,1.4358874858862374,1.5225393606744098,1.4961561998131938,1.5284878657111254,1.5275558191425065,1.5504685603802772,1.7618382330641453,1.7808704629787289,1.3676565622411796,1.53046706886384,1.3964092420313456,1.4836699860155467,1.743474387882475,1.774842803970063,1.3510618516217807,1.4875347353671473,1.4652423787743087,1.508272760819774,1.565311392761837,1.5666417830536996
Latias,Zen Headbutt,Outrage,40,1.5837590489696143,1.6458206602418957,1.6233914159516283,1.5681352604551422,1.6136335038884084,1.6549619169764664,1.4494056748075448,1.6287163327823837,1.655886314370587,1.6689526259497198,1.6806898417105758,1.7186315458845813,1.6841592299994828,1.796905012283205,1.7126121779387193,1.7779085311985032,1.6857171503497337,1.6579830143059007,1.6951144882591154,1.6600480381907525,1.45910581915981,1.6429418856320412,1.5229840852486252,1.6230075099059786,1.6333354190142821,1.6546196331612077,1.5828434245809175,1.7404327724374276,1.7100443599608062,1.7483009303472805,1.669162113825021,1.6930374983433079
Latias,Splash,Outrage,40,1.8195612791144704,1.95292581277501,1.9418675489065313,1.9148747657789156,2.038179839277863,2.055569890236732,1.7448276365210955,1.9516275041943674,1.9350471357280792,1.987735552014355,1.9348608109336756,2.102512446183965,1.804576783328547,1.9396456713435277,1.84113560881589,1.9279850036766342,1.9840453976898489,1.949778253644601,1.9628927408332033,1.9684212030701493,1.6720839866397905,1.9534373545440424,1.747628534931692,1.9054468462406962,1.9012981680757124,1.9549130564261772,1.7041058805113825,1.8869386032609776,1.8094330082544599,1.896325495977764,1.9656583152009852,1.986518048312448
Mega Altaria,Dragon Breath,Dragon Pulse,40,1.5459528075380273,1.605029499097163,1.511106210885925,1.460695414781007,1.4976818325696,1.5366529617400522,1.3513182806642263,1.5035118898559394,1.5874746996708318,1.6003893885580016,1.5031828609523015,1.559746982113079,1.5296903623290519,1.6160806623488209,1.5685872931769416,1.5998044574710586,1.5143709042925297,1.5710694489530974,1.4763826007607912,1.5734663532206747,1.417865188467908,1.5694414125715903,1.5226557358785413,1.593716231512665,1.5884388656724042,1.5899591425882356,1.4535326870972078,1.5583690844092357,1.5854366255934356,1.584870639165993,1.6403446853841175,1.687383991255721
Mega Altaria,Peck,Dragon Pulse,40,1.7881471191997735,1.9139027772046464,1.908159298513662,1.851256176809793,1.866842891590075,1.9367333829442397,1.6270629399664553,1.8831973638090314,1.9566355527197592,1.9878442347061007,1.8184046334506934,1.929216093936458,1.865089106226466,1.9842991058448143,1.8905476870572588,1.9713863193536694,1.8461889163306795,1.9556215207860588,1.8166532988534916,1.9319086239166772,1.852641023413005,2.0881946666665256,1.9672956402447352,2.104384058901189,1.9562027305393008,1.9709008749442158,1.6984773510109143,1.8448247907078281,1.8732694296737242,1.8768758275760404,1.9997641148986145,2.039847324694833
Hydreigon,Dragon Breath,Dragon Pulse,40,1.353363442162758,1.395019914642411,1.3842441149333697,1.2812593535859926,1.4516496689091825,1.3636337178236095,1.2935186791519426,1.3511981359224654,1.3709365241678888,1.406415460538181,1.321995466532975,1.384504119814929,1.3414050083567746,1.4010817605424957,1.3628488854674061,1.3960403175330343,1.388759069278931,1.4009058754648762,1.3748447322584778,1.3869041466648047,1.2376400239787864,1.3737935581249359,1.3980891665782382,1.3945649121251091,1.397303625969688,1.394083270968472,1.2891676719123024,1.3473409400089644,1.3504887074330072,1.3601026123307536,1.4081417277234975,1.4072406901545573
Hydreigon,Bite,Dragon Pulse,40,1.5169764744924232,1.5824586180182603,1.6036147715377977,1.462242972503333,1.6942346292456,1.581118260812948,1.553599022566773,1.6164868876103742,1.3709365241678888,1.406415460538181,1.321995466532975,1.384504119814929,1.3414050083567746,1.4010817605424957,1.3628488854674061,1.3960403175330343,1.6322797042198105,1.638895604466834,1.6331796783495183,1.6385401006165277,1.4342093377838099,1.6275578464124931,1.6452319287118093,1.6476617911680893,1.6236248732361056,1.646106130290129,1.2891676719123024,1.3473409400089644,1.3504887074330072,1.3601026123307536,1.6687031941306174,1.697124288131535
Goodra,Dragon Breath,Draco Meteor,40,1.4664878029319384,1.5024928921885596,1.3603990211841717,1.3653362840662262,1.3116318065973527,1.4350161354315625,1.2697454568784727,1.4270940106618133,1.4523134219566716,1.4938456981946755,1.4576337445451468,1.478794639222746,1.4738850796346208,1.5379057900495139,1.4961995121650344,1.5214042322617873,1.5746358496675756,1.500559954854384,1.5524217896066197,1.496249562217422,1.311591332612519,1.4829515221761556,1.4369837671188048,1.5005866402070096,1.5018614836052386,1.4967676425135699,1.3674745742451235,1.4824350723390585,1.528219074093369,1.5158926198420781,1.5899656521565908,1.5821642023178586
